ts,open,high,low,close,volume
2025-12-30 14:00,4.46,4.47,4.44,4.44,114395
2025-12-30 15:00,4.44,4.45,4.43,4.45,119311
2025-12-31 10:30,4.45,4.46,4.43,4.44,105275
2025-12-31 11:30,4.44,4.46,4.43,4.44,51723
2025-12-31 14:00,4.44,4.46,4.43,4.45,61758
2025-12-31 15:00,4.44,4.45,4.43,4.44,84001
2026-01-05 10:30,4.46,4.48,4.45,4.48,181314
2026-01-05 11:30,4.48,4.49,4.46,4.48,85798
2026-01-05 14:00,4.49,4.5,4.48,4.49,82573
2026-01-05 15:00,4.48,4.5,4.48,4.49,98154
2026-01-06 10:30,4.5,4.55,4.5,4.54,173742
2026-01-06 11:30,4.53,4.55,4.52,4.54,111019
2026-01-06 14:00,4.54,4.55,4.53,4.54,80544
2026-01-06 15:00,4.54,4.57,4.53,4.56,154443
2026-01-07 10:30,4.56,4.59,4.53,4.54,188925
2026-01-07 11:30,4.54,4.56,4.54,4.56,62820
2026-01-07 14:00,4.55,4.57,4.54,4.56,98389
2026-01-07 15:00,4.55,4.57,4.55,4.56,76679
2026-01-08 10:30,4.51,4.54,4.48,4.52,174131
2026-01-08 11:30,4.52,4.53,4.5,4.51,73439
2026-01-08 14:00,4.51,4.53,4.5,4.51,72495
2026-01-08 15:00,4.51,4.53,4.5,4.51,114402
2026-01-09 10:30,4.51,4.55,4.5,4.54,228579
2026-01-09 11:30,4.54,4.55,4.51,4.51,126450
2026-01-09 14:00,4.52,4.53,4.51,4.52,59131
2026-01-09 15:00,4.53,4.54,4.52,4.54,99078
2026-01-12 10:30,4.54,4.62,4.52,4.59,402369
2026-01-12 11:30,4.59,4.61,4.58,4.61,122441
2026-01-12 14:00,4.61,4.64,4.6,4.63,195030
2026-01-12 15:00,4.63,4.64,4.62,4.63,140819
2026-01-13 10:30,4.63,4.64,4.56,4.57,319129
2026-01-13 11:30,4.58,4.63,4.57,4.61,114740
2026-01-13 14:00,4.61,4.64,4.58,4.63,114176
2026-01-13 15:00,4.64,4.64,4.57,4.6,143839
2026-01-14 10:30,4.67,4.83,4.67,4.78,1053239
2026-01-14 11:30,4.79,5.06,4.77,5.06,878120
2026-01-14 14:00,5.06,5.06,5.0,5.05,1772051
2026-01-14 15:00,5.05,5.06,5.03,5.06,322511
2026-01-15 10:30,5.2,5.28,5.03,5.07,2401183
2026-01-15 11:30,5.06,5.11,5.06,5.08,328192
2026-01-15 14:00,5.09,5.09,5.05,5.07,320737
2026-01-15 15:00,5.07,5.12,5.05,5.09,530244
2026-01-16 10:30,5.24,5.39,5.08,5.08,1565168
2026-01-16 11:30,5.08,5.12,5.05,5.06,340792
2026-01-16 14:00,5.06,5.07,5.04,5.05,237525
2026-01-16 15:00,5.04,5.05,5.01,5.04,480237
2026-01-19 10:30,4.98,5.14,4.95,5.09,895521
2026-01-19 11:30,5.08,5.09,5.05,5.07,241959
2026-01-19 14:00,5.07,5.07,5.04,5.04,211415
2026-01-19 15:00,5.06,5.09,5.05,5.08,243765
2026-01-20 10:30,5.08,5.14,5.0,5.03,669513
2026-01-20 11:30,5.02,5.03,4.98,5.0,264431
2026-01-20 14:00,5.01,5.05,4.99,5.04,157112
2026-01-20 15:00,5.04,5.07,5.03,5.07,217841
2026-01-21 10:30,5.03,5.19,4.99,5.11,895233
2026-01-21 11:30,5.11,5.12,5.09,5.09,149652
2026-01-21 14:00,5.1,5.11,5.08,5.1,131759
2026-01-21 15:00,5.09,5.11,5.08,5.11,235771
2026-01-22 10:30,5.1,5.13,5.06,5.08,423239
2026-01-22 11:30,5.08,5.18,5.07,5.14,418140
2026-01-22 14:00,5.13,5.15,5.11,5.15,168293
2026-01-22 15:00,5.14,5.17,5.14,5.17,281765
2026-01-23 10:30,5.21,5.69,5.21,5.69,1887555
2026-01-23 11:30,5.69,5.69,5.69,5.69,76419
2026-01-23 14:00,5.69,5.69,5.69,5.69,90314
2026-01-23 15:00,5.69,5.69,5.69,5.69,36808
2026-01-26 10:30,5.86,5.98,5.65,5.72,2991438
2026-01-26 11:30,5.73,5.73,5.59,5.64,591770
2026-01-26 14:00,5.64,5.64,5.53,5.56,526276
2026-01-26 15:00,5.56,5.65,5.55,5.59,356723
2026-01-27 10:30,5.48,5.57,5.39,5.43,1221791
2026-01-27 11:30,5.43,5.62,5.4,5.56,485439
2026-01-27 14:00,5.56,5.72,5.54,5.71,642149
2026-01-27 15:00,5.71,5.81,5.67,5.73,743863
2026-01-28 10:30,5.68,5.69,5.58,5.63,787339
2026-01-28 11:30,5.63,5.67,5.6,5.65,255576
2026-01-28 14:00,5.65,5.66,5.62,5.64,230764
2026-01-28 15:00,5.64,5.66,5.61,5.62,311866
2026-01-29 10:30,5.58,5.67,5.47,5.64,694859
2026-01-29 11:30,5.63,5.71,5.59,5.69,395643
2026-01-29 14:00,5.69,5.71,5.54,5.54,305616
2026-01-29 15:00,5.54,5.57,5.52,5.54,291185
2026-01-30 10:30,5.5,5.54,5.27,5.27,1043434
2026-01-30 11:30,5.26,5.33,5.21,5.3,379754
2026-01-30 14:00,5.29,5.41,5.29,5.37,215159
2026-01-30 15:00,5.37,5.4,5.35,5.37,238985
2026-02-02 10:30,5.33,5.6,5.33,5.54,1025645
2026-02-02 11:30,5.54,5.57,5.51,5.53,236045
2026-02-02 14:00,5.52,5.53,5.44,5.47,282407
2026-02-02 15:00,5.47,5.5,5.42,5.42,285336
