bi_id,direction,start_fx_id,end_fx_id,start_ts,end_ts,high,low,start_norm_idx,end_norm_idx,is_confirmed,status,note
0,up,0,21,2025-12-30 15:00,2026-01-27 15:00,5.81,4.43,1,56,True,confirmed,auto_generated
1,down,21,23,2026-01-27 15:00,2026-01-30 11:30,5.81,5.21,56,63,True,confirmed,auto_generated
2,up,23,27,2026-01-30 11:30,2026-02-09 10:30,5.92,5.21,63,79,True,confirmed,auto_generated
3,down,27,32,2026-02-09 10:30,2026-02-13 15:00,5.92,5.43,79,93,True,confirmed,auto_generated
4,up,32,39,2026-02-13 15:00,2026-02-27 14:00,5.84,5.43,93,105,True,confirmed,auto_generated
5,down,39,41,2026-02-27 14:00,2026-03-04 10:30,5.84,5.6,105,109,True,confirmed,auto_generated
6,up,41,47,2026-03-04 10:30,2026-03-11 11:30,6.8,5.6,109,119,True,confirmed,auto_generated
7,down,47,56,2026-03-11 11:30,2026-03-24 10:30,6.8,5.68,119,139,True,confirmed,auto_generated
8,up,56,57,2026-03-24 10:30,2026-03-25 11:30,6.57,5.68,139,144,True,confirmed,auto_generated
9,down,57,67,2026-03-25 11:30,2026-04-13 10:30,6.57,5.16,144,177,True,confirmed,auto_generated
10,up,67,68,2026-04-13 10:30,2026-04-14 10:30,5.41,5.16,177,181,True,confirmed,auto_generated
11,down,68,71,2026-04-14 10:30,2026-04-16 10:30,5.41,5.25,181,187,False,preprocessing,auto_generated
