ts,open,high,low,close,volume
2025-01-02,4.584,4.594,4.394,4.434,411217
2025-01-03,4.454,4.494,4.404,4.424,344720
2025-01-06,4.441,4.441,4.361,4.401,291587
2025-01-07,4.411,4.421,4.351,4.391,214712
2025-01-08,4.381,4.381,4.271,4.341,287615
2025-01-09,4.341,4.371,4.311,4.331,213598
2025-01-10,4.331,4.341,4.241,4.241,193388
2025-01-13,4.071,4.211,4.071,4.211,302572
2025-01-14,4.211,4.311,4.201,4.291,371398
2025-01-15,4.281,4.321,4.231,4.281,318853
2025-01-16,4.291,4.361,4.281,4.331,293210
2025-01-17,4.341,4.361,4.321,4.341,203207
2025-01-20,4.351,4.391,4.331,4.341,209218
2025-01-21,4.361,4.371,4.281,4.321,181141
2025-01-22,4.301,4.321,4.251,4.271,213393
2025-01-23,4.301,4.361,4.251,4.251,261188
2025-01-24,4.261,4.301,4.241,4.271,244011
2025-01-27,4.271,4.351,4.271,4.291,251004
2025-02-05,4.311,4.331,4.251,4.281,224677
2025-02-06,4.271,4.351,4.241,4.341,323595
2025-02-07,4.331,4.461,4.321,4.451,527931
2025-02-10,4.501,4.661,4.481,4.511,556891
2025-02-11,4.531,4.531,4.441,4.461,287950
2025-02-12,4.451,4.481,4.411,4.471,250185
2025-02-13,4.471,4.481,4.441,4.451,251625
2025-02-14,4.441,4.461,4.391,4.411,300181
2025-02-17,4.411,4.441,4.381,4.421,275585
2025-02-18,4.431,4.441,4.361,4.371,297437
2025-02-19,4.371,4.381,4.341,4.361,269011
2025-02-20,4.381,4.381,4.301,4.321,288388
2025-02-21,4.331,4.371,4.311,4.361,297554
2025-02-24,4.361,4.411,4.341,4.381,275664
2025-02-25,4.351,4.361,4.301,4.311,310400
2025-02-26,4.301,4.401,4.301,4.401,405081
2025-02-27,4.401,4.431,4.321,4.361,310268
2025-02-28,4.341,4.381,4.281,4.301,296467
2025-03-03,4.301,4.341,4.281,4.291,231694
2025-03-04,4.281,4.301,4.261,4.291,188790
2025-03-05,4.281,4.301,4.241,4.271,215054
2025-03-06,4.271,4.321,4.261,4.311,278020
2025-03-07,4.301,4.311,4.271,4.291,200420
2025-03-10,4.281,4.341,4.271,4.331,280413
2025-03-11,4.301,4.351,4.271,4.351,337422
2025-03-12,4.361,4.391,4.331,4.381,371985
2025-03-13,4.381,4.431,4.341,4.401,396045
2025-03-14,4.381,4.431,4.371,4.431,404421
2025-03-17,4.431,4.491,4.431,4.491,438332
2025-03-18,4.501,4.511,4.441,4.471,323299
2025-03-19,4.471,4.521,4.451,4.491,423056
2025-03-20,4.491,4.531,4.471,4.501,373930
2025-03-21,4.481,4.521,4.451,4.491,449503
2025-03-24,4.481,4.501,4.421,4.461,364708
2025-03-25,4.461,4.531,4.441,4.531,541588
2025-03-26,4.551,4.561,4.491,4.511,519902
2025-03-27,4.511,4.521,4.431,4.441,451605
2025-03-28,4.391,4.421,4.331,4.341,527392
2025-03-31,4.321,4.381,4.291,4.311,313546
2025-04-01,4.331,4.401,4.321,4.401,356019
2025-04-02,4.381,4.401,4.341,4.351,213427
2025-04-03,4.341,4.411,4.331,4.391,299176
2025-04-07,4.281,4.281,3.951,4.021,775034
2025-04-08,4.041,4.181,4.041,4.141,517639
2025-04-09,4.121,4.171,4.021,4.151,403175
2025-04-10,4.211,4.241,4.161,4.181,395168
2025-04-11,4.161,4.191,4.141,4.161,236491
2025-04-14,4.191,4.211,4.171,4.201,209393
2025-04-15,4.201,4.231,4.181,4.231,219773
2025-04-16,4.211,4.251,4.171,4.221,263971
2025-04-17,4.191,4.231,4.181,4.211,193490
2025-04-18,4.211,4.221,4.181,4.201,149498
2025-04-21,4.201,4.231,4.191,4.221,184913
2025-04-22,4.211,4.251,4.211,4.231,223189
2025-04-23,4.241,4.241,4.201,4.221,209288
2025-04-24,4.221,4.251,4.201,4.221,284890
2025-04-25,4.221,4.341,4.211,4.311,560560
2025-04-28,4.331,4.361,4.281,4.291,478294
2025-04-29,4.281,4.281,4.201,4.211,339282
2025-04-30,4.231,4.241,4.181,4.191,244906
2025-05-06,4.191,4.231,4.191,4.231,270257
2025-05-07,4.271,4.281,4.231,4.241,274005
2025-05-08,4.241,4.321,4.231,4.311,401059
2025-05-09,4.311,4.321,4.271,4.281,224329
2025-05-12,4.301,4.311,4.261,4.291,247110
2025-05-13,4.321,4.341,4.281,4.311,326285
2025-05-14,4.321,4.331,4.271,4.331,292311
2025-05-15,4.311,4.341,4.291,4.291,235101
2025-05-16,4.291,4.311,4.251,4.261,241322
2025-05-19,4.271,4.291,4.251,4.281,186976
2025-05-20,4.271,4.301,4.261,4.301,238511
2025-05-21,4.291,4.321,4.281,4.291,215166
2025-05-22,4.281,4.291,4.231,4.241,248574
2025-05-23,4.241,4.251,4.191,4.191,219328
2025-05-26,4.191,4.231,4.181,4.221,147517
2025-05-27,4.221,4.231,4.181,4.201,160474
2025-05-28,4.201,4.221,4.191,4.201,124140
2025-05-29,4.201,4.241,4.201,4.241,184676
2025-05-30,4.241,4.261,4.211,4.221,177138
2025-06-03,4.211,4.231,4.191,4.231,150452
2025-06-04,4.231,4.281,4.221,4.261,261043
2025-06-05,4.281,4.291,4.251,4.281,298362
2025-06-06,4.281,4.281,4.241,4.251,188935
2025-06-09,4.261,4.281,4.251,4.271,187246
2025-06-10,4.271,4.291,4.231,4.251,224529
2025-06-11,4.251,4.291,4.241,4.271,247238
2025-06-12,4.271,4.271,4.241,4.261,225597
2025-06-13,4.251,4.281,4.211,4.221,392257
2025-06-16,4.211,4.231,4.201,4.231,189239
2025-06-17,4.231,4.261,4.211,4.261,195079
2025-06-18,4.251,4.261,4.221,4.231,140203
2025-06-19,4.221,4.231,4.161,4.181,234489
2025-06-20,4.191,4.201,4.161,4.181,151464
2025-06-23,4.161,4.181,4.151,4.181,160571
2025-06-24,4.181,4.211,4.171,4.211,168383
2025-06-25,4.211,4.261,4.191,4.251,279739
2025-06-26,4.251,4.271,4.231,4.241,221426
2025-06-27,4.241,4.281,4.241,4.261,266108
2025-06-30,4.271,4.291,4.251,4.271,225129
2025-07-01,4.271,4.301,4.261,4.281,259893
2025-07-02,4.281,4.321,4.271,4.321,376880
2025-07-03,4.331,4.341,4.281,4.301,264753
2025-07-04,4.321,4.421,4.311,4.351,636453
2025-07-07,4.361,4.421,4.361,4.411,502277
2025-07-08,4.401,4.491,4.361,4.491,710447
2025-07-09,4.481,4.541,4.451,4.461,577426
2025-07-10,4.461,4.521,4.461,4.511,405638
2025-07-11,4.537,4.537,4.487,4.497,457600
2025-07-14,4.487,4.577,4.487,4.527,375394
2025-07-15,4.527,4.537,4.427,4.437,401017
2025-07-16,4.447,4.447,4.397,4.417,252752
2025-07-17,4.427,4.487,4.407,4.477,396283
2025-07-18,4.477,4.487,4.437,4.457,238164
2025-07-21,4.477,4.527,4.467,4.517,349147
2025-07-22,4.527,4.627,4.507,4.617,594564
2025-07-23,4.617,4.627,4.547,4.557,459343
2025-07-24,4.547,4.597,4.537,4.597,383352
2025-07-25,4.597,4.597,4.537,4.557,307665
2025-07-28,4.547,4.587,4.527,4.557,349436
2025-07-29,4.557,4.567,4.507,4.547,290849
2025-07-30,4.547,4.607,4.537,4.567,389628
2025-07-31,4.547,4.557,4.447,4.457,482727
2025-08-01,4.457,4.507,4.457,4.487,302534
2025-08-04,4.457,4.467,4.437,4.467,229919
2025-08-05,4.467,4.477,4.457,4.467,154789
2025-08-06,4.487,4.487,4.457,4.477,193589
2025-08-07,4.477,4.487,4.427,4.447,228969
2025-08-08,4.447,4.487,4.437,4.467,214209
2025-08-11,4.477,4.487,4.447,4.457,290976
2025-08-12,4.457,4.457,4.417,4.427,282573
2025-08-13,4.427,4.447,4.417,4.427,252782
2025-08-14,4.427,4.447,4.367,4.387,381711
2025-08-15,4.387,4.457,4.377,4.447,380512
2025-08-18,4.457,4.487,4.447,4.457,479044
2025-08-19,4.467,4.467,4.417,4.437,313230
2025-08-20,4.437,4.477,4.417,4.467,349660
2025-08-21,4.477,4.617,4.467,4.557,739113
2025-08-22,4.557,4.597,4.507,4.587,545042
2025-08-25,4.597,4.607,4.547,4.577,586752
2025-08-26,4.617,4.627,4.547,4.587,500140
2025-08-27,4.587,4.607,4.477,4.497,572357
2025-08-28,4.527,4.717,4.517,4.687,1563585
2025-08-29,4.667,4.687,4.607,4.627,770123
2025-09-01,4.627,4.627,4.537,4.577,592424
2025-09-02,4.577,4.667,4.537,4.607,701582
2025-09-03,4.677,4.927,4.587,4.797,2041537
2025-09-04,4.747,4.877,4.677,4.747,1381316
2025-09-05,4.757,4.877,4.757,4.837,1114528
2025-09-08,4.837,4.907,4.797,4.827,907546
2025-09-09,4.807,4.837,4.727,4.757,701113
2025-09-10,4.737,4.767,4.667,4.727,640383
2025-09-11,4.767,4.777,4.667,4.747,641331
2025-09-12,4.727,4.757,4.697,4.697,538299
2025-09-15,4.697,4.727,4.667,4.687,436908
2025-09-16,4.677,4.687,4.587,4.637,525908
2025-09-17,4.617,4.697,4.597,4.697,498729
2025-09-18,4.687,4.687,4.557,4.597,641085
2025-09-19,4.577,4.597,4.527,4.567,411761
2025-09-22,4.557,4.567,4.477,4.507,334169
2025-09-23,4.507,4.507,4.427,4.477,401823
2025-09-24,4.467,4.507,4.457,4.497,381283
2025-09-25,4.497,4.557,4.467,4.487,433092
2025-09-26,4.467,4.647,4.467,4.547,615475
2025-09-29,4.537,4.557,4.497,4.537,479455
2025-09-30,4.537,4.557,4.467,4.477,578752
2025-10-09,4.477,4.637,4.477,4.607,791668
2025-10-10,4.617,4.647,4.577,4.637,556770
2025-10-13,4.547,4.597,4.497,4.587,578519
2025-10-14,4.587,4.717,4.547,4.627,868288
2025-10-15,4.617,4.677,4.607,4.667,565309
2025-10-16,4.667,4.677,4.587,4.617,450431
2025-10-17,4.607,4.617,4.487,4.507,547494
2025-10-20,4.527,4.547,4.467,4.517,432254
2025-10-21,4.507,4.577,4.487,4.557,377492
2025-10-22,4.547,4.557,4.517,4.527,301568
2025-10-23,4.517,4.577,4.487,4.577,345701
2025-10-24,4.587,4.597,4.517,4.537,339365
2025-10-27,4.557,4.567,4.527,4.537,368890
2025-10-28,4.537,4.547,4.497,4.517,402832
2025-10-29,4.517,4.607,4.487,4.607,730592
2025-10-30,4.607,4.707,4.597,4.657,1113250
2025-10-31,4.677,4.677,4.577,4.597,683563
2025-11-03,4.597,4.697,4.577,4.697,679501
2025-11-04,4.697,4.707,4.617,4.647,498600
2025-11-05,4.627,4.797,4.607,4.757,983400
2025-11-06,4.787,4.807,4.737,4.747,847207
2025-11-07,4.727,4.867,4.717,4.777,970558
2025-11-10,4.827,4.907,4.787,4.837,1164771
2025-11-11,4.877,4.917,4.837,4.847,836302
2025-11-12,4.847,4.867,4.737,4.777,908110
2025-11-13,4.777,4.827,4.747,4.817,733006
2025-11-14,4.787,4.867,4.757,4.777,725643
2025-11-17,4.777,4.797,4.687,4.747,575151
2025-11-18,4.737,4.747,4.627,4.647,594635
2025-11-19,4.647,4.687,4.587,4.637,490870
2025-11-20,4.647,4.657,4.577,4.587,478432
2025-11-21,4.557,4.557,4.407,4.407,942267
2025-11-24,4.447,4.457,4.367,4.397,563179
2025-11-25,4.417,4.427,4.387,4.407,456864
2025-11-26,4.417,4.427,4.387,4.387,329724
2025-11-27,4.397,4.417,4.377,4.387,304423
2025-11-28,4.387,4.437,4.367,4.437,343062
2025-12-01,4.437,4.447,4.417,4.447,312476
2025-12-02,4.447,4.447,4.397,4.437,264348
2025-12-03,4.427,4.457,4.417,4.427,361536
2025-12-04,4.437,4.437,4.387,4.417,321711
2025-12-05,4.417,4.457,4.397,4.447,304534
2025-12-08,4.457,4.477,4.427,4.437,355061
2025-12-09,4.437,4.437,4.387,4.397,326941
2025-12-10,4.397,4.407,4.357,4.387,353104
2025-12-11,4.397,4.397,4.317,4.327,404209
2025-12-12,4.337,4.397,4.337,4.367,498001
2025-12-15,4.367,4.437,4.367,4.407,436700
2025-12-16,4.407,4.407,4.347,4.377,348304
2025-12-17,4.377,4.407,4.337,4.397,341362
2025-12-18,4.377,4.417,4.357,4.387,301366
2025-12-19,4.397,4.437,4.387,4.417,355068
2025-12-22,4.417,4.437,4.397,4.407,401136
2025-12-23,4.417,4.457,4.397,4.417,358962
2025-12-24,4.407,4.437,4.387,4.427,315885
2025-12-25,4.427,4.447,4.397,4.437,310788
2025-12-26,4.437,4.507,4.427,4.477,567017
2025-12-29,4.517,4.537,4.437,4.447,448834
2025-12-30,4.437,4.447,4.367,4.387,495310
2025-12-31,4.387,4.397,4.367,4.377,302757
2026-01-05,4.397,4.437,4.387,4.427,447840
2026-01-06,4.437,4.507,4.427,4.497,519748
2026-01-07,4.497,4.527,4.467,4.497,426814
2026-01-08,4.51,4.54,4.48,4.51,434469
2026-01-09,4.51,4.55,4.5,4.54,513239
2026-01-12,4.54,4.64,4.52,4.63,860661
2026-01-13,4.63,4.64,4.56,4.6,691886
2026-01-14,4.67,5.06,4.67,5.06,4025922
