idx,ts_start,ts_end,ts_high,ts_low,high,low,direction,src_indices
0,2025-01-02 00:00,2025-01-03 00:00,2025-01-03 00:00,2025-01-02 00:00,4.494,4.394,down,"0,1"
1,2025-01-06 00:00,2025-01-06 00:00,2025-01-06 00:00,2025-01-06 00:00,4.441,4.361,down,2
2,2025-01-07 00:00,2025-01-07 00:00,2025-01-07 00:00,2025-01-07 00:00,4.421,4.351,down,3
3,2025-01-08 00:00,2025-01-09 00:00,2025-01-09 00:00,2025-01-08 00:00,4.371,4.271,down,"4,5"
4,2025-01-10 00:00,2025-01-10 00:00,2025-01-10 00:00,2025-01-10 00:00,4.341,4.241,down,6
5,2025-01-13 00:00,2025-01-13 00:00,2025-01-13 00:00,2025-01-13 00:00,4.211,4.071,down,7
6,2025-01-14 00:00,2025-01-14 00:00,2025-01-14 00:00,2025-01-14 00:00,4.311,4.201,up,8
7,2025-01-15 00:00,2025-01-15 00:00,2025-01-15 00:00,2025-01-15 00:00,4.321,4.231,up,9
8,2025-01-16 00:00,2025-01-16 00:00,2025-01-16 00:00,2025-01-16 00:00,4.361,4.281,up,10
9,2025-01-17 00:00,2025-01-17 00:00,2025-01-17 00:00,2025-01-17 00:00,4.361,4.321,up,11
10,2025-01-20 00:00,2025-01-20 00:00,2025-01-20 00:00,2025-01-20 00:00,4.391,4.331,up,12
11,2025-01-21 00:00,2025-01-21 00:00,2025-01-21 00:00,2025-01-21 00:00,4.371,4.281,down,13
12,2025-01-22 00:00,2025-01-22 00:00,2025-01-22 00:00,2025-01-22 00:00,4.321,4.251,down,14
13,2025-01-23 00:00,2025-01-23 00:00,2025-01-23 00:00,2025-01-23 00:00,4.361,4.251,down,15
14,2025-01-24 00:00,2025-01-24 00:00,2025-01-24 00:00,2025-01-24 00:00,4.301,4.241,down,16
15,2025-01-27 00:00,2025-01-27 00:00,2025-01-27 00:00,2025-01-27 00:00,4.351,4.271,up,17
16,2025-02-05 00:00,2025-02-06 00:00,2025-02-05 00:00,2025-02-06 00:00,4.331,4.241,down,"18,19"
17,2025-02-07 00:00,2025-02-07 00:00,2025-02-07 00:00,2025-02-07 00:00,4.461,4.321,up,20
18,2025-02-10 00:00,2025-02-10 00:00,2025-02-10 00:00,2025-02-10 00:00,4.661,4.481,up,21
19,2025-02-11 00:00,2025-02-11 00:00,2025-02-11 00:00,2025-02-11 00:00,4.531,4.441,down,22
20,2025-02-12 00:00,2025-02-12 00:00,2025-02-12 00:00,2025-02-12 00:00,4.481,4.411,down,23
21,2025-02-13 00:00,2025-02-13 00:00,2025-02-13 00:00,2025-02-13 00:00,4.481,4.441,down,24
22,2025-02-14 00:00,2025-02-14 00:00,2025-02-14 00:00,2025-02-14 00:00,4.461,4.391,down,25
23,2025-02-17 00:00,2025-02-17 00:00,2025-02-17 00:00,2025-02-17 00:00,4.441,4.381,down,26
24,2025-02-18 00:00,2025-02-18 00:00,2025-02-18 00:00,2025-02-18 00:00,4.441,4.361,down,27
25,2025-02-19 00:00,2025-02-19 00:00,2025-02-19 00:00,2025-02-19 00:00,4.381,4.341,down,28
26,2025-02-20 00:00,2025-02-21 00:00,2025-02-20 00:00,2025-02-21 00:00,4.381,4.311,up,"29,30"
