fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note,left_bar_idx,left_bar_ts_start,left_bar_ts_end,left_bar_high,left_bar_low,center_bar_ts_start,center_bar_ts_end,center_bar_high,center_bar_low,right_bar_idx,right_bar_ts_start,right_bar_ts_end,right_bar_high,right_bar_low
0,bottom,2025-01-13 00:00,4.071,5,4.211,4.071,True,confirmed,4,2025-01-10 00:00,2025-01-10 00:00,4.341,4.241,2025-01-13 00:00,2025-01-13 00:00,4.211,4.071,6,2025-01-14 00:00,2025-01-14 00:00,4.311,4.201
1,top,2025-01-20 00:00,4.391,10,4.391,4.331,True,confirmed,9,2025-01-17 00:00,2025-01-17 00:00,4.361,4.321,2025-01-20 00:00,2025-01-20 00:00,4.391,4.331,11,2025-01-21 00:00,2025-01-21 00:00,4.371,4.281
4,bottom,2025-01-24 00:00,4.241,14,4.301,4.241,True,confirmed,13,2025-01-23 00:00,2025-01-23 00:00,4.361,4.251,2025-01-24 00:00,2025-01-24 00:00,4.301,4.241,15,2025-01-27 00:00,2025-01-27 00:00,4.351,4.271
7,top,2025-02-10 00:00,4.661,18,4.661,4.481,True,confirmed,17,2025-02-07 00:00,2025-02-07 00:00,4.461,4.321,2025-02-10 00:00,2025-02-10 00:00,4.661,4.481,19,2025-02-11 00:00,2025-02-11 00:00,4.531,4.441
14,bottom,2025-03-05 00:00,4.241,34,4.301,4.241,True,confirmed,33,2025-03-04 00:00,2025-03-04 00:00,4.301,4.261,2025-03-05 00:00,2025-03-05 00:00,4.301,4.241,35,2025-03-06 00:00,2025-03-07 00:00,4.321,4.271
17,top,2025-03-26 00:00,4.561,48,4.561,4.491,True,confirmed,47,2025-03-25 00:00,2025-03-25 00:00,4.531,4.441,2025-03-26 00:00,2025-03-26 00:00,4.561,4.491,49,2025-03-27 00:00,2025-03-27 00:00,4.521,4.431
20,bottom,2025-04-07 00:00,3.951,54,4.171,3.951,True,confirmed,53,2025-04-02 00:00,2025-04-03 00:00,4.401,4.331,2025-04-07 00:00,2025-04-09 00:00,4.171,3.951,55,2025-04-10 00:00,2025-04-10 00:00,4.241,4.161
46,top,2025-07-23 00:00,4.627,118,4.627,4.547,True,confirmed,117,2025-07-22 00:00,2025-07-22 00:00,4.627,4.507,2025-07-23 00:00,2025-07-23 00:00,4.627,4.547,119,2025-07-24 00:00,2025-07-24 00:00,4.597,4.537
53,bottom,2025-08-14 00:00,4.367,133,4.447,4.367,True,confirmed,132,2025-08-13 00:00,2025-08-13 00:00,4.447,4.417,2025-08-14 00:00,2025-08-14 00:00,4.447,4.367,134,2025-08-15 00:00,2025-08-15 00:00,4.457,4.377
60,top,2025-09-03 00:00,4.927,144,4.927,4.797,True,confirmed,143,2025-09-02 00:00,2025-09-02 00:00,4.667,4.537,2025-09-03 00:00,2025-09-08 00:00,4.927,4.797,145,2025-09-09 00:00,2025-09-09 00:00,4.837,4.727
65,bottom,2025-09-23 00:00,4.427,154,4.507,4.427,True,confirmed,153,2025-09-22 00:00,2025-09-22 00:00,4.567,4.477,2025-09-23 00:00,2025-09-23 00:00,4.507,4.427,155,2025-09-24 00:00,2025-09-24 00:00,4.507,4.457
78,top,2025-11-11 00:00,4.917,176,4.917,4.837,True,confirmed,175,2025-11-10 00:00,2025-11-10 00:00,4.907,4.787,2025-11-11 00:00,2025-11-11 00:00,4.917,4.837,177,2025-11-12 00:00,2025-11-13 00:00,4.827,4.737
89,bottom,2025-12-11 00:00,4.317,195,4.397,4.317,True,confirmed,194,2025-12-10 00:00,2025-12-10 00:00,4.407,4.357,2025-12-11 00:00,2025-12-11 00:00,4.397,4.317,196,2025-12-12 00:00,2025-12-12 00:00,4.397,4.337
110,top,2026-03-11 00:00,6.8,243,6.8,6.46,True,confirmed,242,2026-03-09 00:00,2026-03-09 00:00,6.47,6.15,2026-03-10 00:00,2026-03-12 00:00,6.8,6.46,244,2026-03-13 00:00,2026-03-13 00:00,6.63,6.23
