fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note,left_bar_idx,left_bar_ts_start,left_bar_ts_end,left_bar_high,left_bar_low,center_bar_ts_start,center_bar_ts_end,center_bar_high,center_bar_low,right_bar_idx,right_bar_ts_start,right_bar_ts_end,right_bar_high,right_bar_low
0,top,2026-01-13 00:00,31.01,1,31.01,29.29,True,confirmed,0,2026-01-12 00:00,2026-01-12 00:00,30.02,27.56,2026-01-13 00:00,2026-01-13 00:00,31.01,29.29,2,2026-01-14 00:00,2026-01-14 00:00,30.85,29.05
1,bottom,2026-01-20 00:00,26.78,5,28.56,26.78,False,candidate,4,2026-01-16 00:00,2026-01-19 00:00,28.58,27.76,2026-01-20 00:00,2026-01-20 00:00,28.56,26.78,6,2026-01-21 00:00,2026-01-21 00:00,28.76,26.93
2,top,2026-01-22 00:00,29.05,7,29.05,27.81,False,candidate,6,2026-01-21 00:00,2026-01-21 00:00,28.76,26.93,2026-01-22 00:00,2026-01-22 00:00,29.05,27.81,8,2026-01-23 00:00,2026-01-23 00:00,28.67,27.34
3,bottom,2026-02-06 00:00,24.44,14,25.28,24.44,False,candidate,13,2026-02-02 00:00,2026-02-02 00:00,26.71,25.49,2026-02-03 00:00,2026-02-06 00:00,25.28,24.44,15,2026-02-09 00:00,2026-02-09 00:00,25.72,25.27
4,top,2026-02-10 00:00,26.66,16,26.66,25.89,False,candidate,15,2026-02-09 00:00,2026-02-09 00:00,25.72,25.27,2026-02-10 00:00,2026-02-11 00:00,26.66,25.89,17,2026-02-12 00:00,2026-02-12 00:00,26.3,25.6
5,bottom,2026-03-04 00:00,22.31,23,22.89,22.31,False,candidate,22,2026-03-03 00:00,2026-03-03 00:00,23.94,22.72,2026-03-04 00:00,2026-03-04 00:00,22.89,22.31,24,2026-03-05 00:00,2026-03-06 00:00,23.32,22.77
6,top,2026-03-05 00:00,23.32,24,23.32,22.77,False,candidate,23,2026-03-04 00:00,2026-03-04 00:00,22.89,22.31,2026-03-05 00:00,2026-03-06 00:00,23.32,22.77,25,2026-03-09 00:00,2026-03-09 00:00,23.28,22.27
7,bottom,2026-03-09 00:00,22.27,25,23.28,22.27,False,candidate,24,2026-03-05 00:00,2026-03-06 00:00,23.32,22.77,2026-03-09 00:00,2026-03-09 00:00,23.28,22.27,26,2026-03-10 00:00,2026-03-10 00:00,23.54,23.13
8,top,2026-03-13 00:00,24.38,28,24.38,23.52,False,candidate,27,2026-03-11 00:00,2026-03-11 00:00,24.08,23.48,2026-03-12 00:00,2026-03-13 00:00,24.38,23.52,29,2026-03-16 00:00,2026-03-16 00:00,23.96,23.01
9,bottom,2026-03-16 00:00,23.01,29,23.96,23.01,False,candidate,28,2026-03-12 00:00,2026-03-13 00:00,24.38,23.52,2026-03-16 00:00,2026-03-16 00:00,23.96,23.01,30,2026-03-17 00:00,2026-03-17 00:00,24.38,23.41
10,top,2026-03-17 00:00,24.38,30,24.38,23.41,False,candidate,29,2026-03-16 00:00,2026-03-16 00:00,23.96,23.01,2026-03-17 00:00,2026-03-17 00:00,24.38,23.41,31,2026-03-18 00:00,2026-03-18 00:00,24.02,23.37
11,bottom,2026-03-23 00:00,21.06,34,21.76,21.06,False,candidate,33,2026-03-20 00:00,2026-03-20 00:00,23.04,22.35,2026-03-23 00:00,2026-03-24 00:00,21.76,21.06,35,2026-03-25 00:00,2026-03-25 00:00,21.92,21.54
12,top,2026-03-25 00:00,21.92,35,21.92,21.54,False,candidate,34,2026-03-23 00:00,2026-03-24 00:00,21.76,21.06,2026-03-25 00:00,2026-03-25 00:00,21.92,21.54,36,2026-03-26 00:00,2026-03-26 00:00,21.81,21.2
13,bottom,2026-03-27 00:00,20.91,37,21.4,20.91,True,confirmed,36,2026-03-26 00:00,2026-03-26 00:00,21.81,21.2,2026-03-27 00:00,2026-03-30 00:00,21.4,20.91,38,2026-03-31 00:00,2026-03-31 00:00,21.8,21.27
14,top,2026-04-01 00:00,22.85,39,22.85,22.05,False,candidate,38,2026-03-31 00:00,2026-03-31 00:00,21.8,21.27,2026-04-01 00:00,2026-04-02 00:00,22.85,22.05,40,2026-04-03 00:00,2026-04-03 00:00,22.38,21.66
15,bottom,2026-04-07 00:00,21.51,41,21.97,21.51,False,candidate,40,2026-04-03 00:00,2026-04-03 00:00,22.38,21.66,2026-04-07 00:00,2026-04-07 00:00,21.97,21.51,42,2026-04-08 00:00,2026-04-09 00:00,22.96,22.33
16,top,2026-04-10 00:00,23.14,43,23.14,22.55,False,candidate,42,2026-04-08 00:00,2026-04-09 00:00,22.96,22.33,2026-04-10 00:00,2026-04-10 00:00,23.14,22.55,44,2026-04-13 00:00,2026-04-14 00:00,22.36,21.77
17,bottom,2026-04-13 00:00,21.77,44,22.36,21.77,False,candidate,43,2026-04-10 00:00,2026-04-10 00:00,23.14,22.55,2026-04-13 00:00,2026-04-14 00:00,22.36,21.77,45,2026-04-15 00:00,2026-04-15 00:00,23.13,22.51
18,top,2026-04-16 00:00,23.38,46,23.38,22.61,False,pre_bi_candidate,45,2026-04-15 00:00,2026-04-15 00:00,23.13,22.51,2026-04-16 00:00,2026-04-16 00:00,23.38,22.61,47,2026-04-17 00:00,2026-04-17 00:00,22.5,21.91
