fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note
0,top,2026-01-13,31.01,1,31.01,29.29,True,confirmed
1,bottom,2026-01-20,26.78,5,28.56,26.78,False,candidate
2,top,2026-01-22,29.05,7,29.05,27.81,False,candidate
3,bottom,2026-02-03,24.62,14,25.5,24.62,False,candidate
4,top,2026-02-10,26.66,16,26.66,25.89,False,candidate
5,bottom,2026-03-04,22.31,23,22.89,22.31,False,candidate
6,top,2026-03-05,23.32,24,23.32,22.77,False,candidate
7,bottom,2026-03-09,22.27,25,23.28,22.27,True,confirmed
9,top,2026-03-17,24.38,30,24.38,23.41,True,confirmed
10,bottom,2026-03-23,21.06,34,21.76,21.06,False,candidate
11,top,2026-03-25,21.92,35,21.92,21.54,False,candidate
12,bottom,2026-03-27,20.91,37,21.4,20.91,False,pre_bi_candidate
13,top,2026-04-01,22.85,39,22.85,22.05,False,candidate
14,bottom,2026-04-07,21.51,41,21.97,21.51,False,candidate
