ts,open,high,low,close,volume
2026-01-02 10:30,5.44,5.51,5.42,5.5,4616000
2026-01-02 11:30,5.5,5.54,5.49,5.5,4490000
2026-01-02 12:00,5.5,5.51,5.48,5.5,1968050
2026-01-02 14:00,5.5,5.52,5.49,5.51,3054680
2026-01-02 15:00,5.51,5.52,5.5,5.51,2150000
2026-01-02 16:00,5.51,5.51,5.4,5.47,7944811
2026-01-05 10:30,5.49,5.5,5.4,5.47,18336277
2026-01-05 11:30,5.47,5.48,5.43,5.46,14310000
2026-01-05 12:00,5.47,5.47,5.44,5.45,3548000
2026-01-05 14:00,5.44,5.47,5.43,5.45,13576000
2026-01-05 15:00,5.45,5.47,5.42,5.45,15685999
2026-01-05 16:00,5.44,5.5,5.4,5.41,16222000
2026-01-06 10:30,5.47,5.47,5.41,5.43,16130920
2026-01-06 11:30,5.43,5.49,5.42,5.49,9618000
2026-01-06 12:00,5.49,5.5,5.48,5.48,4268000
2026-01-06 14:00,5.49,5.52,5.48,5.49,10006000
2026-01-06 15:00,5.49,5.5,5.48,5.5,5952000
2026-01-06 16:00,5.5,5.51,5.45,5.47,11220000
2026-01-07 10:30,5.5,5.51,5.39,5.41,23142100
2026-01-07 11:30,5.41,5.42,5.38,5.39,11766300
2026-01-07 12:00,5.39,5.41,5.38,5.4,2354000
2026-01-07 14:00,5.4,5.41,5.38,5.39,13238689
2026-01-07 15:00,5.39,5.4,5.37,5.39,11424020
2026-01-07 16:00,5.39,5.42,5.37,5.38,14658000
2026-01-08 10:30,5.43,5.43,5.35,5.36,13607800
2026-01-08 11:30,5.36,5.36,5.33,5.34,12704756
2026-01-08 12:00,5.34,5.35,5.33,5.35,3132000
2026-01-08 14:00,5.33,5.35,5.31,5.33,12298000
2026-01-08 15:00,5.33,5.34,5.3,5.32,15096012
2026-01-08 16:00,5.33,5.36,5.31,5.34,12550000
2026-01-09 10:30,5.35,5.4,5.3,5.38,16300750
2026-01-09 11:30,5.39,5.41,5.36,5.37,12028000
2026-01-09 12:00,5.37,5.38,5.36,5.38,966000
2026-01-09 14:00,5.38,5.38,5.32,5.34,9644000
2026-01-09 15:00,5.35,5.36,5.33,5.34,8174020
2026-01-09 16:00,5.35,5.35,5.3,5.31,10698513
2026-01-12 10:30,5.36,5.37,5.31,5.32,15945147
2026-01-12 11:30,5.33,5.33,5.31,5.32,11877198
2026-01-12 12:00,5.33,5.34,5.3,5.33,8312000
2026-01-12 14:00,5.32,5.34,5.3,5.3,18082000
2026-01-12 15:00,5.31,5.32,5.29,5.3,13120000
2026-01-12 16:00,5.3,5.35,5.3,5.33,20411000
2026-01-13 10:30,5.32,5.38,5.31,5.34,23382700
2026-01-13 11:30,5.35,5.35,5.33,5.34,7662000
2026-01-13 12:00,5.34,5.34,5.33,5.33,1473571
2026-01-13 14:00,5.33,5.35,5.31,5.31,9596199
2026-01-13 15:00,5.31,5.34,5.31,5.34,7122000
2026-01-13 16:00,5.33,5.36,5.3,5.32,9580000
2026-01-14 10:30,5.32,5.38,5.31,5.36,15322000
2026-01-14 11:30,5.36,5.37,5.32,5.32,12138000
2026-01-14 12:00,5.32,5.34,5.32,5.33,2320000
2026-01-14 14:00,5.33,5.34,5.3,5.31,10682362
2026-01-14 15:00,5.31,5.33,5.3,5.32,18136000
2026-01-14 16:00,5.32,5.32,5.3,5.32,8500000
2026-01-15 10:30,5.32,5.36,5.3,5.31,8460002
2026-01-15 11:30,5.32,5.32,5.27,5.28,11618228
2026-01-15 12:00,5.27,5.29,5.27,5.28,2230000
2026-01-15 14:00,5.28,5.28,5.25,5.25,10944000
2026-01-15 15:00,5.26,5.27,5.24,5.26,18686012
2026-01-15 16:00,5.26,5.3,5.25,5.28,13389740
2026-01-16 10:30,5.29,5.32,5.26,5.27,9130250
2026-01-16 11:30,5.27,5.27,5.18,5.2,24422449
2026-01-16 12:00,5.19,5.2,5.18,5.2,4242000
2026-01-16 14:00,5.2,5.21,5.18,5.18,12930000
2026-01-16 15:00,5.19,5.19,5.16,5.18,14350000
2026-01-16 16:00,5.18,5.21,5.16,5.19,22058000
2026-01-19 10:30,5.17,5.19,5.12,5.14,18001304
2026-01-19 11:30,5.14,5.17,5.13,5.15,16062000
2026-01-19 12:00,5.16,5.16,5.15,5.16,2152000
2026-01-19 14:00,5.16,5.17,5.13,5.13,8916500
2026-01-19 15:00,5.13,5.14,5.12,5.13,9898000
2026-01-19 16:00,5.13,5.14,5.11,5.12,15048584
2026-01-20 10:30,5.13,5.19,5.12,5.19,12580200
2026-01-20 11:30,5.19,5.19,5.17,5.17,4763971
2026-01-20 12:00,5.18,5.2,5.17,5.18,2436000
2026-01-20 14:00,5.18,5.21,5.18,5.19,9930000
2026-01-20 15:00,5.19,5.21,5.18,5.2,7684000
2026-01-20 16:00,5.2,5.21,5.17,5.18,19610028
2026-01-21 10:30,5.2,5.22,5.16,5.2,14675289
2026-01-21 11:30,5.2,5.2,5.15,5.16,9843066
2026-01-21 12:00,5.15,5.17,5.15,5.15,2216000
2026-01-21 14:00,5.16,5.16,5.11,5.11,12150000
2026-01-21 15:00,5.12,5.12,5.06,5.09,14009236
