ts,open,high,low,close,volume
2026-03-23 10:30,6.01,6.03,5.86,5.89,11816000
2026-03-23 11:30,5.89,5.89,5.8,5.82,6157000
2026-03-23 13:30,5.81,5.85,5.8,5.81,6936000
2026-03-23 14:30,5.82,5.82,5.75,5.78,13343000
2026-03-23 15:30,5.77,5.82,5.74,5.82,7725000
2026-03-23 16:00,5.81,5.86,5.81,5.85,7284000
2026-03-24 10:30,5.91,5.96,5.83,5.96,7772000
2026-03-24 11:30,5.95,5.95,5.89,5.93,2484000
2026-03-24 13:30,5.93,5.95,5.9,5.91,1583000
2026-03-24 14:30,5.91,5.96,5.91,5.95,1704000
2026-03-24 15:30,5.95,6.01,5.95,6.0,4081000
2026-03-24 16:00,6.0,6.01,5.95,6.01,6542000
2026-03-25 10:30,6.07,6.11,6.03,6.05,5808000
2026-03-25 11:30,6.05,6.05,6.0,6.02,2505000
2026-03-25 13:30,6.02,6.04,6.0,6.04,1545000
2026-03-25 14:30,6.04,6.07,6.02,6.05,2827000
2026-03-25 15:30,6.05,6.07,6.04,6.06,1576000
2026-03-25 16:00,6.07,6.09,6.03,6.09,7263000
2026-03-26 10:30,6.09,6.1,5.93,5.93,5785000
2026-03-26 11:30,5.94,5.97,5.86,5.87,4376000
2026-03-26 13:30,5.87,5.88,5.81,5.82,2855000
2026-03-26 14:30,5.83,5.85,5.81,5.83,2261000
2026-03-26 15:30,5.82,5.85,5.81,5.83,4270000
2026-03-26 16:00,5.83,5.85,5.8,5.85,10837000
2026-03-27 10:30,5.65,5.66,5.3,5.34,41336000
2026-03-27 11:30,5.34,5.45,5.33,5.42,17745000
2026-03-27 13:30,5.42,5.47,5.41,5.46,11496000
2026-03-27 14:30,5.46,5.51,5.44,5.47,23604000
2026-03-27 15:30,5.48,5.48,5.42,5.43,11128000
2026-03-27 16:00,5.43,5.47,5.43,5.43,23881000
2026-03-30 10:30,5.37,5.38,5.23,5.29,24390000
2026-03-30 11:30,5.29,5.36,5.26,5.35,12372000
2026-03-30 13:30,5.35,5.41,5.34,5.39,6435000
2026-03-30 14:30,5.39,5.44,5.36,5.44,4968000
2026-03-30 15:30,5.44,5.51,5.42,5.51,10371000
2026-03-30 16:00,5.51,5.55,5.45,5.53,12771000
2026-03-31 10:30,5.47,5.6,5.43,5.45,12921000
2026-03-31 11:30,5.46,5.46,5.38,5.38,6534000
2026-03-31 13:30,5.39,5.41,5.33,5.37,5332000
2026-03-31 14:30,5.37,5.39,5.34,5.36,5484000
2026-03-31 15:30,5.36,5.37,5.34,5.35,4604000
2026-03-31 16:00,5.35,5.4,5.33,5.4,21335000
2026-04-01 10:30,5.52,5.55,5.43,5.47,9025000
2026-04-01 11:30,5.47,5.5,5.44,5.49,3869000
2026-04-01 13:30,5.49,5.5,5.44,5.47,1961000
2026-04-01 14:30,5.46,5.52,5.46,5.51,4123000
2026-04-01 15:30,5.52,5.52,5.48,5.48,2760000
2026-04-01 16:00,5.48,5.49,5.44,5.48,12662000
2026-04-02 10:30,5.49,5.49,5.37,5.4,7795000
2026-04-02 11:30,5.4,5.44,5.39,5.43,3923000
2026-04-02 13:30,5.43,5.43,5.37,5.38,1767000
2026-04-02 14:30,5.38,5.39,5.36,5.37,2141000
2026-04-02 15:30,5.37,5.39,5.36,5.38,1763000
2026-04-02 16:00,5.38,5.39,5.35,5.39,16491000
2026-04-08 10:30,5.46,5.6,5.44,5.55,19171000
2026-04-08 11:30,5.55,5.56,5.51,5.52,5398000
2026-04-08 13:30,5.52,5.61,5.51,5.61,5839000
2026-04-08 14:30,5.59,5.6,5.57,5.59,4731000
2026-04-08 15:30,5.59,5.59,5.53,5.56,3271000
2026-04-08 16:00,5.55,5.57,5.51,5.57,12624000
2026-04-09 10:30,5.55,5.57,5.46,5.5,6902000
2026-04-09 11:30,5.52,5.55,5.48,5.5,8649000
2026-04-09 13:30,5.5,5.52,5.48,5.52,2941000
2026-04-09 14:30,5.52,5.53,5.5,5.51,1652000
2026-04-09 15:30,5.5,5.53,5.49,5.53,6924000
2026-04-09 16:00,5.52,5.55,5.51,5.54,11274000
2026-04-10 10:30,5.55,5.67,5.55,5.62,10782000
2026-04-10 11:30,5.64,5.65,5.61,5.62,5285000
2026-04-10 13:30,5.61,5.66,5.61,5.65,5168000
2026-04-10 14:30,5.65,5.66,5.62,5.64,3957000
2026-04-10 15:30,5.64,5.66,5.62,5.64,3808000
2026-04-10 16:00,5.64,5.64,5.59,5.64,16908000
2026-04-13 10:30,5.63,5.63,5.48,5.49,5898000
2026-04-13 11:30,5.49,5.51,5.44,5.45,5189000
2026-04-13 13:30,5.46,5.5,5.45,5.49,3074000
2026-04-13 14:30,5.49,5.52,5.47,5.48,3305000
2026-04-13 15:30,5.48,5.5,5.46,5.5,6794000
