ts,open,high,low,close,volume
2026-01-06,7.3,7.56,7.3,7.5,106608836
2026-01-07,7.5,7.63,7.43,7.54,54110016
2026-01-08,7.45,7.45,7.2,7.39,57713759
2026-01-09,7.39,7.41,7.15,7.28,59661268
2026-01-12,7.18,7.23,7.03,7.12,43517484
2026-01-13,7.18,7.38,7.13,7.22,47031164
2026-01-14,7.17,7.18,6.92,6.98,68892768
2026-01-15,7.0,7.02,6.8,6.83,51320793
2026-01-16,6.86,6.93,6.66,6.75,47602645
2026-01-19,6.72,6.73,6.57,6.65,42954491
2026-01-20,6.66,6.77,6.62,6.74,31353505
2026-01-21,6.77,6.78,6.61,6.63,27586142
2026-01-22,6.68,6.69,6.49,6.54,41521916
2026-01-23,6.59,6.64,6.39,6.43,45608132
2026-01-26,6.48,6.6,6.39,6.49,62931520
2026-01-27,6.49,6.73,6.49,6.7,49789352
2026-01-28,6.73,6.81,6.67,6.77,40893907
2026-01-29,6.82,6.94,6.74,6.88,49074826
2026-01-30,6.86,6.93,6.68,6.8,41767101
2026-02-02,6.76,6.84,6.49,6.57,47939338
2026-02-03,6.63,6.76,6.52,6.58,34016069
2026-02-04,6.56,6.7,6.53,6.65,38290015
2026-02-05,6.61,6.72,6.47,6.7,36364148
2026-02-06,6.63,6.67,6.54,6.58,29312189
2026-02-09,6.66,6.84,6.61,6.81,43334576
2026-02-10,6.85,6.87,6.72,6.83,24975461
2026-02-11,6.79,6.89,6.65,6.76,49607628
2026-02-12,6.81,6.94,6.76,6.82,39738315
2026-02-13,6.78,6.78,6.5,6.56,52324693
2026-02-16,6.5,6.75,6.5,6.74,11639659
2026-02-20,6.79,6.79,6.64,6.75,28142369
2026-02-23,6.89,7.05,6.88,7.01,25457979
2026-02-24,6.87,6.9,6.68,6.71,51699023
2026-02-25,6.79,6.79,6.61,6.67,52019229
2026-02-26,6.68,6.69,6.29,6.3,82102829
2026-02-27,6.3,6.43,6.3,6.41,36920510
2026-03-02,6.32,6.43,6.21,6.33,39182298
2026-03-03,6.37,6.45,6.3,6.34,36388815
2026-03-04,6.32,6.32,6.07,6.28,63217313
2026-03-05,6.32,6.45,6.26,6.33,47052893
2026-03-06,6.32,6.44,6.26,6.39,33155975
2026-03-09,6.27,6.3,6.13,6.26,34406949
2026-03-10,6.33,6.38,6.22,6.28,27842000
2026-03-11,6.28,6.34,6.21,6.26,25700983
2026-03-12,6.24,6.29,6.1,6.18,39283684
2026-03-13,6.19,6.24,6.06,6.09,29609000
2026-03-16,6.09,6.17,5.99,6.17,30653505
2026-03-17,6.19,6.4,6.18,6.27,54194901
2026-03-18,6.33,6.33,6.26,6.31,15515492
2026-03-19,6.25,6.29,6.1,6.16,30115177
2026-03-20,6.19,6.23,6.05,6.16,44420694
2026-03-23,6.02,6.03,5.74,5.85,57653334
2026-03-24,5.91,6.01,5.83,6.01,25032000
2026-03-25,6.07,6.11,6.0,6.09,22354581
2026-03-26,6.09,6.1,5.8,5.85,32044864
2026-03-27,5.65,5.66,5.3,5.43,137572737
2026-03-30,5.37,5.55,5.23,5.53,75507584
2026-03-31,5.46,5.6,5.33,5.4,60862016
2026-04-01,5.51,5.55,5.43,5.48,45300787
2026-04-02,5.49,5.49,5.35,5.39,35907340
2026-04-08,5.46,5.61,5.44,5.57,55214533
2026-04-09,5.56,5.57,5.46,5.54,41444639
2026-04-10,5.55,5.67,5.55,5.64,50297813
2026-04-13,5.63,5.63,5.44,5.52,50465915
2026-04-14,5.53,5.58,5.44,5.5,54005800
2026-04-15,5.54,5.58,5.35,5.37,79167440
2026-04-16,5.38,5.47,5.35,5.47,41916500
2026-04-17,5.43,5.46,5.26,5.27,50916087
