idx,ts_start,ts_end,ts_high,ts_low,high,low,direction,src_indices
0,2026-01-06 00:00,2026-01-06 00:00,2026-01-06 00:00,2026-01-06 00:00,7.56,7.3,up,0
1,2026-01-07 00:00,2026-01-07 00:00,2026-01-07 00:00,2026-01-07 00:00,7.63,7.43,up,1
2,2026-01-08 00:00,2026-01-08 00:00,2026-01-08 00:00,2026-01-08 00:00,7.45,7.2,down,2
3,2026-01-09 00:00,2026-01-09 00:00,2026-01-09 00:00,2026-01-09 00:00,7.41,7.15,down,3
4,2026-01-12 00:00,2026-01-12 00:00,2026-01-12 00:00,2026-01-12 00:00,7.23,7.03,down,4
5,2026-01-13 00:00,2026-01-13 00:00,2026-01-13 00:00,2026-01-13 00:00,7.38,7.13,up,5
6,2026-01-14 00:00,2026-01-14 00:00,2026-01-14 00:00,2026-01-14 00:00,7.18,6.92,down,6
7,2026-01-15 00:00,2026-01-15 00:00,2026-01-15 00:00,2026-01-15 00:00,7.02,6.8,down,7
8,2026-01-16 00:00,2026-01-16 00:00,2026-01-16 00:00,2026-01-16 00:00,6.93,6.66,down,8
9,2026-01-19 00:00,2026-01-19 00:00,2026-01-19 00:00,2026-01-19 00:00,6.73,6.57,down,9
10,2026-01-20 00:00,2026-01-21 00:00,2026-01-21 00:00,2026-01-20 00:00,6.78,6.62,up,"10,11"
11,2026-01-22 00:00,2026-01-22 00:00,2026-01-22 00:00,2026-01-22 00:00,6.69,6.49,down,12
12,2026-01-23 00:00,2026-01-23 00:00,2026-01-23 00:00,2026-01-23 00:00,6.64,6.39,down,13
13,2026-01-26 00:00,2026-01-26 00:00,2026-01-26 00:00,2026-01-26 00:00,6.6,6.39,up,14
14,2026-01-27 00:00,2026-01-27 00:00,2026-01-27 00:00,2026-01-27 00:00,6.73,6.49,up,15
15,2026-01-28 00:00,2026-01-28 00:00,2026-01-28 00:00,2026-01-28 00:00,6.81,6.67,up,16
16,2026-01-29 00:00,2026-01-29 00:00,2026-01-29 00:00,2026-01-29 00:00,6.94,6.74,up,17
17,2026-01-30 00:00,2026-01-30 00:00,2026-01-30 00:00,2026-01-30 00:00,6.93,6.68,down,18
18,2026-02-02 00:00,2026-02-06 00:00,2026-02-06 00:00,2026-02-05 00:00,6.67,6.47,down,"19,20,21,22,23"
19,2026-02-09 00:00,2026-02-09 00:00,2026-02-09 00:00,2026-02-09 00:00,6.84,6.61,up,24
20,2026-02-10 00:00,2026-02-11 00:00,2026-02-11 00:00,2026-02-10 00:00,6.89,6.72,up,"25,26"
21,2026-02-12 00:00,2026-02-12 00:00,2026-02-12 00:00,2026-02-12 00:00,6.94,6.76,up,27
22,2026-02-13 00:00,2026-02-13 00:00,2026-02-13 00:00,2026-02-13 00:00,6.78,6.5,down,28
23,2026-02-16 00:00,2026-02-16 00:00,2026-02-16 00:00,2026-02-16 00:00,6.75,6.5,up,29
24,2026-02-20 00:00,2026-02-20 00:00,2026-02-20 00:00,2026-02-20 00:00,6.79,6.64,up,30
25,2026-02-23 00:00,2026-02-23 00:00,2026-02-23 00:00,2026-02-23 00:00,7.05,6.88,up,31
26,2026-02-24 00:00,2026-02-24 00:00,2026-02-24 00:00,2026-02-24 00:00,6.9,6.68,down,32
27,2026-02-25 00:00,2026-02-25 00:00,2026-02-25 00:00,2026-02-25 00:00,6.79,6.61,down,33
28,2026-02-26 00:00,2026-02-27 00:00,2026-02-27 00:00,2026-02-26 00:00,6.43,6.29,down,"34,35"
29,2026-03-02 00:00,2026-03-02 00:00,2026-03-02 00:00,2026-03-02 00:00,6.43,6.21,up,36
30,2026-03-03 00:00,2026-03-03 00:00,2026-03-03 00:00,2026-03-03 00:00,6.45,6.3,up,37
31,2026-03-04 00:00,2026-03-04 00:00,2026-03-04 00:00,2026-03-04 00:00,6.32,6.07,down,38
32,2026-03-05 00:00,2026-03-05 00:00,2026-03-05 00:00,2026-03-05 00:00,6.45,6.26,up,39
33,2026-03-06 00:00,2026-03-06 00:00,2026-03-06 00:00,2026-03-06 00:00,6.44,6.26,down,40
34,2026-03-09 00:00,2026-03-09 00:00,2026-03-09 00:00,2026-03-09 00:00,6.3,6.13,down,41
35,2026-03-10 00:00,2026-03-10 00:00,2026-03-10 00:00,2026-03-10 00:00,6.38,6.22,up,42
36,2026-03-11 00:00,2026-03-11 00:00,2026-03-11 00:00,2026-03-11 00:00,6.34,6.21,down,43
37,2026-03-12 00:00,2026-03-12 00:00,2026-03-12 00:00,2026-03-12 00:00,6.29,6.1,down,44
38,2026-03-13 00:00,2026-03-13 00:00,2026-03-13 00:00,2026-03-13 00:00,6.24,6.06,down,45
39,2026-03-16 00:00,2026-03-16 00:00,2026-03-16 00:00,2026-03-16 00:00,6.17,5.99,down,46
40,2026-03-17 00:00,2026-03-18 00:00,2026-03-17 00:00,2026-03-18 00:00,6.4,6.26,up,"47,48"
41,2026-03-19 00:00,2026-03-19 00:00,2026-03-19 00:00,2026-03-19 00:00,6.29,6.1,down,49
42,2026-03-20 00:00,2026-03-20 00:00,2026-03-20 00:00,2026-03-20 00:00,6.23,6.05,down,50
43,2026-03-23 00:00,2026-03-24 00:00,2026-03-24 00:00,2026-03-23 00:00,6.01,5.74,down,"51,52"
44,2026-03-25 00:00,2026-03-25 00:00,2026-03-25 00:00,2026-03-25 00:00,6.11,6.0,up,53
45,2026-03-26 00:00,2026-03-26 00:00,2026-03-26 00:00,2026-03-26 00:00,6.1,5.8,down,54
46,2026-03-27 00:00,2026-03-27 00:00,2026-03-27 00:00,2026-03-27 00:00,5.66,5.3,down,55
47,2026-03-30 00:00,2026-03-30 00:00,2026-03-30 00:00,2026-03-30 00:00,5.55,5.23,down,56
48,2026-03-31 00:00,2026-04-01 00:00,2026-03-31 00:00,2026-04-01 00:00,5.6,5.43,up,"57,58"
49,2026-04-02 00:00,2026-04-02 00:00,2026-04-02 00:00,2026-04-02 00:00,5.49,5.35,down,59
50,2026-04-08 00:00,2026-04-09 00:00,2026-04-08 00:00,2026-04-09 00:00,5.61,5.46,up,"60,61"
51,2026-04-10 00:00,2026-04-10 00:00,2026-04-10 00:00,2026-04-10 00:00,5.67,5.55,up,62
52,2026-04-13 00:00,2026-04-13 00:00,2026-04-13 00:00,2026-04-13 00:00,5.63,5.44,down,63
53,2026-04-14 00:00,2026-04-14 00:00,2026-04-14 00:00,2026-04-14 00:00,5.58,5.44,,64
54,2026-04-15 00:00,2026-04-15 00:00,2026-04-15 00:00,2026-04-15 00:00,5.58,5.35,,65
55,2026-04-16 00:00,2026-04-16 00:00,2026-04-16 00:00,2026-04-16 00:00,5.47,5.35,down,66
56,2026-04-17 00:00,2026-04-17 00:00,2026-04-17 00:00,2026-04-17 00:00,5.46,5.26,down,67
