fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note,left_bar_idx,left_bar_ts_start,left_bar_ts_end,left_bar_high,left_bar_low,center_bar_ts_start,center_bar_ts_end,center_bar_high,center_bar_low,right_bar_idx,right_bar_ts_start,right_bar_ts_end,right_bar_high,right_bar_low
0,top,2026-01-07 00:00,7.63,1,7.63,7.43,True,confirmed,0,2026-01-06 00:00,2026-01-06 00:00,7.56,7.3,2026-01-07 00:00,2026-01-07 00:00,7.63,7.43,2,2026-01-08 00:00,2026-01-08 00:00,7.45,7.2
1,bottom,2026-01-12 00:00,7.03,4,7.23,7.03,False,candidate,3,2026-01-09 00:00,2026-01-09 00:00,7.41,7.15,2026-01-12 00:00,2026-01-12 00:00,7.23,7.03,5,2026-01-13 00:00,2026-01-13 00:00,7.38,7.13
2,top,2026-01-13 00:00,7.38,5,7.38,7.13,False,candidate,4,2026-01-12 00:00,2026-01-12 00:00,7.23,7.03,2026-01-13 00:00,2026-01-13 00:00,7.38,7.13,6,2026-01-14 00:00,2026-01-14 00:00,7.18,6.92
3,bottom,2026-01-19 00:00,6.57,9,6.73,6.57,False,candidate,8,2026-01-16 00:00,2026-01-16 00:00,6.93,6.66,2026-01-19 00:00,2026-01-19 00:00,6.73,6.57,10,2026-01-20 00:00,2026-01-21 00:00,6.78,6.62
4,top,2026-01-21 00:00,6.78,10,6.78,6.62,False,candidate,9,2026-01-19 00:00,2026-01-19 00:00,6.73,6.57,2026-01-20 00:00,2026-01-21 00:00,6.78,6.62,11,2026-01-22 00:00,2026-01-22 00:00,6.69,6.49
5,bottom,2026-01-26 00:00,6.39,13,6.6,6.39,True,confirmed,12,2026-01-23 00:00,2026-01-23 00:00,6.64,6.39,2026-01-26 00:00,2026-01-26 00:00,6.6,6.39,14,2026-01-27 00:00,2026-01-27 00:00,6.73,6.49
6,top,2026-01-29 00:00,6.94,16,6.94,6.74,False,candidate,15,2026-01-28 00:00,2026-01-28 00:00,6.81,6.67,2026-01-29 00:00,2026-01-29 00:00,6.94,6.74,17,2026-01-30 00:00,2026-01-30 00:00,6.93,6.68
7,bottom,2026-02-05 00:00,6.47,18,6.67,6.47,False,candidate,17,2026-01-30 00:00,2026-01-30 00:00,6.93,6.68,2026-02-02 00:00,2026-02-06 00:00,6.67,6.47,19,2026-02-09 00:00,2026-02-09 00:00,6.84,6.61
8,top,2026-02-12 00:00,6.94,21,6.94,6.76,False,candidate,20,2026-02-10 00:00,2026-02-11 00:00,6.89,6.72,2026-02-12 00:00,2026-02-12 00:00,6.94,6.76,22,2026-02-13 00:00,2026-02-13 00:00,6.78,6.5
9,bottom,2026-02-16 00:00,6.5,23,6.75,6.5,False,candidate,22,2026-02-13 00:00,2026-02-13 00:00,6.78,6.5,2026-02-16 00:00,2026-02-16 00:00,6.75,6.5,24,2026-02-20 00:00,2026-02-20 00:00,6.79,6.64
10,top,2026-02-23 00:00,7.05,25,7.05,6.88,True,confirmed,24,2026-02-20 00:00,2026-02-20 00:00,6.79,6.64,2026-02-23 00:00,2026-02-23 00:00,7.05,6.88,26,2026-02-24 00:00,2026-02-24 00:00,6.9,6.68
11,bottom,2026-03-02 00:00,6.21,29,6.43,6.21,False,candidate,28,2026-02-26 00:00,2026-02-27 00:00,6.43,6.29,2026-03-02 00:00,2026-03-02 00:00,6.43,6.21,30,2026-03-03 00:00,2026-03-03 00:00,6.45,6.3
12,top,2026-03-03 00:00,6.45,30,6.45,6.3,False,candidate,29,2026-03-02 00:00,2026-03-02 00:00,6.43,6.21,2026-03-03 00:00,2026-03-03 00:00,6.45,6.3,31,2026-03-04 00:00,2026-03-04 00:00,6.32,6.07
13,bottom,2026-03-04 00:00,6.07,31,6.32,6.07,False,candidate,30,2026-03-03 00:00,2026-03-03 00:00,6.45,6.3,2026-03-04 00:00,2026-03-04 00:00,6.32,6.07,32,2026-03-05 00:00,2026-03-05 00:00,6.45,6.26
14,top,2026-03-05 00:00,6.45,32,6.45,6.26,False,candidate,31,2026-03-04 00:00,2026-03-04 00:00,6.32,6.07,2026-03-05 00:00,2026-03-05 00:00,6.45,6.26,33,2026-03-06 00:00,2026-03-06 00:00,6.44,6.26
15,bottom,2026-03-09 00:00,6.13,34,6.3,6.13,False,candidate,33,2026-03-06 00:00,2026-03-06 00:00,6.44,6.26,2026-03-09 00:00,2026-03-09 00:00,6.3,6.13,35,2026-03-10 00:00,2026-03-10 00:00,6.38,6.22
16,top,2026-03-10 00:00,6.38,35,6.38,6.22,False,candidate,34,2026-03-09 00:00,2026-03-09 00:00,6.3,6.13,2026-03-10 00:00,2026-03-10 00:00,6.38,6.22,36,2026-03-11 00:00,2026-03-11 00:00,6.34,6.21
17,bottom,2026-03-16 00:00,5.99,39,6.17,5.99,False,candidate,38,2026-03-13 00:00,2026-03-13 00:00,6.24,6.06,2026-03-16 00:00,2026-03-16 00:00,6.17,5.99,40,2026-03-17 00:00,2026-03-18 00:00,6.4,6.26
18,top,2026-03-17 00:00,6.4,40,6.4,6.26,False,candidate,39,2026-03-16 00:00,2026-03-16 00:00,6.17,5.99,2026-03-17 00:00,2026-03-18 00:00,6.4,6.26,41,2026-03-19 00:00,2026-03-19 00:00,6.29,6.1
19,bottom,2026-03-23 00:00,5.74,43,6.01,5.74,False,candidate,42,2026-03-20 00:00,2026-03-20 00:00,6.23,6.05,2026-03-23 00:00,2026-03-24 00:00,6.01,5.74,44,2026-03-25 00:00,2026-03-25 00:00,6.11,6.0
20,top,2026-03-25 00:00,6.11,44,6.11,6.0,False,candidate,43,2026-03-23 00:00,2026-03-24 00:00,6.01,5.74,2026-03-25 00:00,2026-03-25 00:00,6.11,6.0,45,2026-03-26 00:00,2026-03-26 00:00,6.1,5.8
21,bottom,2026-03-30 00:00,5.23,47,5.55,5.23,True,confirmed,46,2026-03-27 00:00,2026-03-27 00:00,5.66,5.3,2026-03-30 00:00,2026-03-30 00:00,5.55,5.23,48,2026-03-31 00:00,2026-04-01 00:00,5.6,5.43
22,top,2026-03-31 00:00,5.6,48,5.6,5.43,False,candidate,47,2026-03-30 00:00,2026-03-30 00:00,5.55,5.23,2026-03-31 00:00,2026-04-01 00:00,5.6,5.43,49,2026-04-02 00:00,2026-04-02 00:00,5.49,5.35
