ts,open,high,low,close,volume
2026-04-01 10:30,85.0,85.6,82.0,82.15,14042200
2026-04-01 11:30,82.15,82.45,81.6,81.8,7141500
2026-04-01 13:30,81.75,81.95,80.95,81.8,7056500
2026-04-01 14:30,81.75,82.25,81.5,82.25,5219500
2026-04-01 15:30,82.2,82.75,82.15,82.4,8003400
2026-04-01 16:00,82.4,82.4,81.7,81.95,13714800
2026-04-02 10:30,81.25,81.5,78.75,79.2,17815700
2026-04-02 11:30,79.15,79.7,78.7,79.7,5067400
2026-04-02 13:30,79.65,79.7,79.05,79.6,3686500
2026-04-02 14:30,79.6,79.9,79.55,79.75,4134200
2026-04-02 15:30,79.75,80.25,79.45,80.25,6143400
2026-04-02 16:00,80.25,80.25,79.95,80.25,8243500
2026-04-08 10:30,82.75,86.35,82.5,85.9,28305100
2026-04-08 11:30,85.95,87.4,85.9,87.35,14191700
2026-04-08 13:30,87.3,89.9,87.25,89.25,20433100
2026-04-08 14:30,89.25,89.9,88.45,89.1,12624100
2026-04-08 15:30,89.1,89.4,88.0,88.4,10651500
2026-04-08 16:00,88.4,88.75,88.05,88.5,15808300
2026-04-09 10:30,87.25,88.5,86.9,87.85,9674400
2026-04-09 11:30,87.8,88.45,87.55,88.35,3208300
2026-04-09 13:30,88.3,89.3,88.3,89.25,6051700
2026-04-09 14:30,89.2,89.7,88.7,88.8,4619900
2026-04-09 15:30,88.8,89.05,87.9,88.0,3625000
2026-04-09 16:00,88.0,88.0,87.7,88.0,6160800
2026-04-10 10:30,88.2,90.85,87.8,89.75,13779200
2026-04-10 11:30,89.75,89.9,88.65,88.85,2528500
2026-04-10 13:30,88.85,89.05,87.8,87.85,3218000
2026-04-10 14:30,87.8,88.5,87.55,87.7,3735900
2026-04-10 15:30,87.75,87.95,87.55,87.85,2410900
2026-04-10 16:00,87.85,87.85,87.3,87.6,4682100
2026-04-13 10:30,86.8,87.1,85.75,85.8,6651000
2026-04-13 11:30,85.85,86.0,85.3,85.7,3634300
2026-04-13 13:30,85.65,86.15,85.4,85.6,2304200
2026-04-13 14:30,85.6,85.95,85.55,85.85,2105100
2026-04-13 15:30,85.8,86.45,85.65,86.2,2414200
2026-04-13 16:00,86.2,86.5,86.2,86.45,4062000
2026-04-14 10:30,87.4,87.9,84.75,84.85,11177100
2026-04-14 11:30,84.8,85.05,84.25,84.5,4840600
2026-04-14 13:30,84.5,84.65,83.75,83.85,5410000
2026-04-14 14:30,83.9,84.6,83.85,84.35,3508600
2026-04-14 15:30,84.35,85.4,84.35,85.25,4854700
