ts,open,close,high,low,volume
2025-03-06,174.7,180.3,181.5,174.2,68514831
2025-03-07,180.3,183.5,189.6,177.0,75915127
2025-03-10,183.5,174.9,184.0,173.0,50030702
2025-03-11,170.0,171.6,173.3,167.7,47328733
2025-03-12,174.2,168.3,175.6,165.1,39260107
2025-03-13,168.3,164.5,168.9,161.4,38849089
2025-03-14,168.4,173.4,175.5,165.4,44151948
2025-03-17,177.8,175.1,178.9,174.2,37555448
2025-03-18,181.5,177.3,181.8,174.7,41082229
2025-03-19,176.6,175.9,176.6,172.4,38845173
2025-03-20,175.9,168.1,175.9,167.7,44029819
2025-03-21,168.9,167.6,172.4,165.6,49899045
2025-03-24,163.0,165.7,166.2,158.8,61238376
2025-03-25,162.9,158.5,163.0,158.1,43845502
2025-03-26,159.0,159.9,161.2,156.7,26504416
2025-03-27,162.2,162.8,165.8,159.6,25666765
2025-03-28,163.1,160.1,165.5,159.0,23655795
2025-03-31,156.2,155.8,160.1,154.1,35770136
2025-04-01,157.7,157.9,160.3,156.9,22898803
2025-04-02,157.0,157.8,160.3,155.5,18784941
2025-04-03,152.4,157.9,160.8,152.4,32917192
2025-04-07,145.1,134.3,148.9,132.7,98058866
2025-04-08,135.8,140.6,144.5,135.8,80514588
2025-04-09,135.0,146.4,149.4,133.3,70467850
2025-04-10,148.3,145.4,152.3,144.0,72400269
2025-04-11,144.9,143.5,146.2,141.0,51245697
2025-04-14,146.6,145.9,147.1,143.1,33857822
2025-04-15,146.5,146.8,147.3,143.9,24286799
2025-04-16,143.1,134.9,144.5,133.5,78561767
2025-04-17,133.2,136.5,136.5,129.6,56895776
2025-04-22,131.1,130.2,131.5,125.6,110254462
2025-04-23,133.0,133.9,134.7,130.7,54953599
2025-04-24,132.0,127.0,132.6,125.8,75864030
2025-04-25,125.6,127.6,130.7,125.6,56566102
2025-04-28,127.6,128.4,129.8,125.0,55141223
2025-04-29,129.5,132.1,134.8,128.2,55426571
2025-04-30,132.1,130.3,134.6,128.3,47460144
2025-05-02,129.6,132.5,133.1,128.8,28920212
2025-05-06,133.2,138.5,141.0,131.2,87006642
2025-05-07,144.0,139.0,145.0,138.5,58771688
2025-05-08,139.0,141.4,144.3,138.7,39204516
2025-05-09,143.0,141.0,143.3,139.2,26978060
2025-05-12,145.0,144.5,145.9,139.0,66601665
2025-05-13,144.4,137.4,144.4,137.0,54387262
2025-05-14,139.4,139.4,141.6,137.7,47614723
2025-05-15,138.0,135.4,138.4,134.8,44033746
2025-05-16,132.6,131.4,134.1,130.3,60689121
2025-05-19,129.1,134.4,136.2,127.8,52631525
2025-05-20,132.9,136.4,137.4,132.9,35438230
2025-05-21,136.4,137.3,138.6,135.2,32045978
2025-05-22,136.5,136.0,138.4,135.1,30893775
2025-05-23,136.0,136.9,139.5,136.0,37290455
2025-05-26,136.2,129.4,136.5,128.2,95490174
