idx,ts_start,ts_end,ts_high,ts_low,high,low,direction,src_indices
0,2026-03-03 00:00,2026-03-03 00:00,2026-03-03 00:00,2026-03-03 00:00,78.15,75.35,down,0
1,2026-03-04 00:00,2026-03-04 00:00,2026-03-04 00:00,2026-03-04 00:00,75.65,73.6,down,1
2,2026-03-05 00:00,2026-03-06 00:00,2026-03-06 00:00,2026-03-05 00:00,77.95,73.85,up,"2,3"
3,2026-03-09 00:00,2026-03-09 00:00,2026-03-09 00:00,2026-03-09 00:00,79.0,74.0,up,4
4,2026-03-10 00:00,2026-03-10 00:00,2026-03-10 00:00,2026-03-10 00:00,80.55,77.55,up,5
5,2026-03-11 00:00,2026-03-11 00:00,2026-03-11 00:00,2026-03-11 00:00,79.6,76.65,down,6
6,2026-03-12 00:00,2026-03-12 00:00,2026-03-12 00:00,2026-03-12 00:00,77.2,75.4,down,7
7,2026-03-13 00:00,2026-03-13 00:00,2026-03-13 00:00,2026-03-13 00:00,77.4,75.85,up,8
8,2026-03-16 00:00,2026-03-16 00:00,2026-03-16 00:00,2026-03-16 00:00,79.0,76.5,up,9
9,2026-03-17 00:00,2026-03-18 00:00,2026-03-17 00:00,2026-03-18 00:00,82.2,79.6,up,"10,11"
10,2026-03-19 00:00,2026-03-20 00:00,2026-03-19 00:00,2026-03-20 00:00,81.55,78.15,down,"12,13"
11,2026-03-23 00:00,2026-03-23 00:00,2026-03-23 00:00,2026-03-23 00:00,78.5,75.85,down,14
12,2026-03-24 00:00,2026-03-24 00:00,2026-03-24 00:00,2026-03-24 00:00,79.2,76.75,up,15
13,2026-03-25 00:00,2026-03-26 00:00,2026-03-25 00:00,2026-03-26 00:00,91.55,85.5,up,"16,17"
14,2026-03-27 00:00,2026-03-27 00:00,2026-03-27 00:00,2026-03-27 00:00,90.7,84.7,down,18
15,2026-03-30 00:00,2026-03-30 00:00,2026-03-30 00:00,2026-03-30 00:00,86.6,82.7,down,19
16,2026-03-31 00:00,2026-04-01 00:00,2026-03-31 00:00,2026-04-01 00:00,84.8,80.95,down,"20,21"
17,2026-04-02 00:00,2026-04-02 00:00,2026-04-02 00:00,2026-04-02 00:00,81.5,78.7,down,22
18,2026-04-08 00:00,2026-04-09 00:00,2026-04-08 00:00,2026-04-09 00:00,89.9,86.9,up,"23,24"
19,2026-04-10 00:00,2026-04-10 00:00,2026-04-10 00:00,2026-04-10 00:00,90.85,87.3,up,25
