bi_id,direction,start_fx_id,end_fx_id,start_ts,end_ts,high,low,start_norm_idx,end_norm_idx,is_confirmed,status,note
0,down,0,19,2025-03-07 00:00,2025-05-27 00:00,189.6,122.3,1,43,True,confirmed,auto_generated
1,up,19,24,2025-05-27 00:00,2025-06-09 00:00,149.8,122.3,43,49,True,confirmed,auto_generated
2,down,24,29,2025-06-09 00:00,2025-07-07 00:00,149.8,115.8,49,64,True,confirmed,auto_generated
3,up,29,34,2025-07-07 00:00,2025-07-24 00:00,136.1,115.8,64,73,True,confirmed,auto_generated
4,down,34,59,2025-07-24 00:00,2025-10-17 00:00,136.1,94.05,73,119,True,confirmed,auto_generated
5,up,59,64,2025-10-17 00:00,2025-10-31 00:00,104.6,94.05,119,125,True,confirmed,auto_generated
6,down,64,71,2025-10-31 00:00,2025-11-21 00:00,104.6,95.15,125,138,True,confirmed,auto_generated
7,up,71,82,2025-11-21 00:00,2026-01-06 00:00,108.0,95.15,138,163,True,confirmed,auto_generated
8,down,82,93,2026-01-06 00:00,2026-03-04 00:00,108.0,73.6,163,194,True,confirmed,auto_generated
9,up,93,98,2026-03-04 00:00,2026-03-25 00:00,91.55,73.6,194,206,False,preprocessing,auto_generated
