fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note,left_bar_idx,left_bar_ts_start,left_bar_ts_end,left_bar_high,left_bar_low,center_bar_ts_start,center_bar_ts_end,center_bar_high,center_bar_low,right_bar_idx,right_bar_ts_start,right_bar_ts_end,right_bar_high,right_bar_low
0,top,2025-03-07 00:00,189.6,1,189.6,177.0,True,confirmed,0,2025-03-06 00:00,2025-03-06 00:00,181.5,174.2,2025-03-07 00:00,2025-03-07 00:00,189.6,177.0,2,2025-03-10 00:00,2025-03-10 00:00,184.0,173.0
19,bottom,2025-05-27 00:00,122.3,43,132.0,122.3,True,confirmed,42,2025-05-26 00:00,2025-05-26 00:00,136.5,128.2,2025-05-27 00:00,2025-05-28 00:00,132.0,122.3,44,2025-05-29 00:00,2025-05-30 00:00,140.9,135.8
24,top,2025-06-09 00:00,149.8,49,149.8,144.7,True,confirmed,48,2025-06-06 00:00,2025-06-06 00:00,146.3,141.0,2025-06-09 00:00,2025-06-09 00:00,149.8,144.7,50,2025-06-10 00:00,2025-06-11 00:00,145.5,143.1
29,bottom,2025-07-07 00:00,115.8,64,119.4,115.8,True,confirmed,63,2025-07-04 00:00,2025-07-04 00:00,123.2,119.5,2025-07-07 00:00,2025-07-07 00:00,119.4,115.8,65,2025-07-08 00:00,2025-07-09 00:00,122.5,118.8
34,top,2025-07-24 00:00,136.1,73,136.1,132.0,True,confirmed,72,2025-07-23 00:00,2025-07-23 00:00,134.2,128.2,2025-07-24 00:00,2025-07-24 00:00,136.1,132.0,74,2025-07-25 00:00,2025-07-25 00:00,135.4,129.7
59,bottom,2025-10-17 00:00,94.05,119,97.5,94.05,True,confirmed,118,2025-10-16 00:00,2025-10-16 00:00,100.1,97.9,2025-10-17 00:00,2025-10-20 00:00,97.5,94.05,120,2025-10-21 00:00,2025-10-21 00:00,98.9,96.4
64,top,2025-10-31 00:00,104.6,125,104.6,102.0,True,confirmed,124,2025-10-28 00:00,2025-10-30 00:00,102.5,99.15,2025-10-31 00:00,2025-10-31 00:00,104.6,102.0,126,2025-11-03 00:00,2025-11-03 00:00,103.8,101.4
71,bottom,2025-11-21 00:00,95.15,138,97.25,95.15,True,confirmed,137,2025-11-20 00:00,2025-11-20 00:00,99.4,97.2,2025-11-21 00:00,2025-11-21 00:00,97.25,95.15,139,2025-11-24 00:00,2025-11-24 00:00,98.6,95.65
82,top,2026-01-06 00:00,108.0,163,108.0,105.7,True,confirmed,162,2026-01-05 00:00,2026-01-05 00:00,106.2,103.7,2026-01-06 00:00,2026-01-06 00:00,108.0,105.7,164,2026-01-07 00:00,2026-01-07 00:00,106.1,103.5
93,bottom,2026-03-04 00:00,73.6,194,75.65,73.6,True,confirmed,193,2026-03-03 00:00,2026-03-03 00:00,78.15,75.35,2026-03-04 00:00,2026-03-04 00:00,75.65,73.6,195,2026-03-05 00:00,2026-03-06 00:00,77.95,73.85
