ts,open,high,low,close,volume
2026-03-03,77.25,78.15,75.35,75.65,64441703
2026-03-04,74.65,75.65,73.6,75.4,62511701
2026-03-05,76.65,76.65,73.85,74.5,44459291
2026-03-06,74.5,77.95,73.65,76.85,81436279
2026-03-09,74.4,79.0,74.0,78.7,67180598
2026-03-10,80.0,80.55,77.55,79.1,46241432
2026-03-11,79.15,79.6,76.65,77.4,39917143
2026-03-12,76.5,77.2,75.4,76.7,37947010
2026-03-13,76.0,77.4,75.85,75.95,18836697
2026-03-16,76.9,79.0,76.5,78.3,38287519
2026-03-17,78.45,82.2,78.4,80.0,52313278
2026-03-18,80.55,81.4,79.6,80.3,26863720
2026-03-19,78.7,81.55,78.5,80.7,50616607
2026-03-20,81.55,82.65,78.15,79.15,64632837
2026-03-23,77.8,78.5,75.85,76.55,54303511
2026-03-24,76.75,79.2,76.75,79.0,44636705
2026-03-25,79.95,91.55,78.55,90.0,252756064
2026-03-26,90.0,90.65,85.5,86.7,121140962
2026-03-27,86.15,90.7,84.7,85.9,99424658
2026-03-30,83.7,86.6,82.7,84.2,60221748
2026-03-31,83.8,84.8,82.5,82.95,41291471
2026-04-01,85.0,85.6,80.95,81.95,57818900
2026-04-02,81.3,81.5,78.7,80.25,47181021
2026-04-08,82.55,89.9,82.5,88.5,106097187
2026-04-09,87.25,89.7,86.9,88.0,34932772
2026-04-10,88.25,90.85,87.3,87.6,31529595
