ts,open,high,low,close,volume
2026-01-05 10:30,75.56,77.25,75.11,77.25,207699
2026-01-05 11:30,77.24,79.29,76.98,78.49,214716
2026-01-05 14:00,78.49,78.65,77.92,78.21,70334
2026-01-05 15:00,78.2,78.46,78.02,78.35,71779
2026-01-06 10:30,78.69,78.7,77.88,77.98,156361
2026-01-06 11:30,77.98,78.27,77.5,78.24,86392
2026-01-06 14:00,78.27,78.57,78.0,78.2,63449
2026-01-06 15:00,78.2,78.49,78.12,78.48,70458
2026-01-07 10:30,78.3,79.0,77.9,78.05,138334
2026-01-07 11:30,78.01,78.7,78.0,78.32,47215
2026-01-07 14:00,78.32,78.33,77.5,77.7,73766
2026-01-07 15:00,77.7,78.03,77.7,78.03,51551
2026-01-08 10:30,78.4,78.99,77.89,78.16,135067
2026-01-08 11:30,78.15,78.33,77.74,77.91,56059
2026-01-08 14:00,77.91,77.94,77.6,77.86,50366
2026-01-08 15:00,77.86,77.87,77.26,77.58,64996
2026-01-09 10:30,77.46,78.98,77.34,78.6,150730
2026-01-09 11:30,78.6,78.72,77.73,77.76,71854
2026-01-09 14:00,77.76,78.21,77.7,78.16,47242
2026-01-09 15:00,78.16,78.34,77.93,78.3,61023
2026-01-12 10:30,79.14,80.54,78.61,79.91,229828
2026-01-12 11:30,79.89,80.6,79.57,80.6,81492
2026-01-12 14:00,80.64,81.0,80.36,80.99,117096
2026-01-12 15:00,80.99,81.17,80.61,80.85,95961
2026-01-13 10:30,80.82,80.82,79.31,79.4,192675
2026-01-13 11:30,79.37,79.58,78.97,79.14,71725
2026-01-13 14:00,79.14,79.2,78.35,78.96,96121
2026-01-13 15:00,78.96,79.0,78.28,78.33,77676
2026-01-14 10:30,78.61,81.34,78.61,80.03,231155
2026-01-14 11:30,80.05,80.07,79.6,79.79,68665
2026-01-14 14:00,79.79,79.79,77.51,77.54,162705
2026-01-14 15:00,77.52,78.25,77.03,77.95,94110
2026-01-15 10:30,77.89,80.5,77.76,79.45,241265
2026-01-15 11:30,79.48,80.18,79.48,79.92,91287
2026-01-15 14:00,79.87,81.47,79.66,80.83,177398
2026-01-15 15:00,80.78,80.93,80.32,80.84,99332
2026-01-16 10:30,81.17,81.22,80.51,80.74,152133
2026-01-16 11:30,80.73,82.14,80.68,81.87,146272
2026-01-16 14:00,81.89,81.96,80.77,80.77,88862
2026-01-16 15:00,80.77,81.06,80.52,80.85,82393
2026-01-19 10:30,80.85,81.52,80.11,80.51,128964
2026-01-19 11:30,80.5,81.2,79.91,80.7,84145
2026-01-19 14:00,80.76,81.43,80.31,80.38,55700
2026-01-19 15:00,80.37,80.5,80.06,80.27,52357
2026-01-20 10:30,80.01,81.12,79.0,79.16,149077
2026-01-20 11:30,79.15,79.91,78.84,79.6,69743
2026-01-20 14:00,79.55,79.78,79.25,79.25,49660
2026-01-20 15:00,79.24,79.47,78.88,79.38,72521
2026-01-21 10:30,79.15,81.46,79.1,81.22,185474
2026-01-21 11:30,81.22,81.35,80.22,80.29,65184
2026-01-21 14:00,80.34,80.71,80.27,80.56,43615
2026-01-21 15:00,80.57,80.58,79.9,80.08,81787
2026-01-22 10:30,80.6,82.53,79.8,79.87,192816
2026-01-22 11:30,79.81,80.08,79.23,79.25,56395
2026-01-22 14:00,79.3,79.51,79.08,79.2,47355
2026-01-22 15:00,79.2,79.53,79.03,79.12,65855
2026-01-23 10:30,79.35,80.98,79.25,80.34,187789
2026-01-23 11:30,80.32,80.7,79.57,79.61,68410
2026-01-23 14:00,79.62,80.0,79.41,79.64,55179
2026-01-23 15:00,79.65,79.72,79.2,79.38,84898
2026-01-26 10:30,79.5,80.4,78.48,79.01,181895
2026-01-26 11:30,79.0,79.13,77.5,77.78,92622
2026-01-26 14:00,77.78,78.17,77.58,77.91,53173
2026-01-26 15:00,77.92,78.04,77.2,77.2,90938
2026-01-27 10:30,77.01,78.1,76.75,77.38,102697
2026-01-27 11:30,77.41,79.63,77.41,78.63,94390
2026-01-27 14:00,78.62,79.18,78.34,78.88,55179
2026-01-27 15:00,78.88,79.68,78.36,78.44,95660
2026-01-28 10:30,78.0,78.18,76.38,76.38,176386
2026-01-28 11:30,76.36,76.41,76.0,76.08,82114
2026-01-28 14:00,76.08,76.43,75.85,76.2,89245
2026-01-28 15:00,76.2,77.07,76.2,76.41,99605
2026-01-29 10:30,76.44,77.0,75.89,76.47,111595
2026-01-29 11:30,76.46,76.62,75.97,76.11,55657
2026-01-29 14:00,76.1,76.17,75.69,75.8,61285
2026-01-29 15:00,75.83,76.42,75.71,75.87,77506
2026-01-30 10:30,75.68,75.78,73.83,73.83,143747
2026-01-30 11:30,73.83,74.9,73.23,74.79,67436
2026-01-30 14:00,74.79,76.08,74.57,74.88,70598
2026-01-30 15:00,74.88,74.95,74.5,74.63,54606
2026-02-02 10:30,74.52,76.3,74.52,75.95,128785
2026-02-02 11:30,75.91,76.99,75.85,75.85,90593
2026-02-02 14:00,75.84,76.42,75.23,75.69,55070
2026-02-02 15:00,75.69,76.06,74.95,75.04,59557
2026-02-03 10:30,75.51,75.61,74.59,74.62,100781
2026-02-03 11:30,74.64,74.94,74.23,74.86,46446
2026-02-03 14:00,74.9,75.17,74.6,75.07,49758
2026-02-03 15:00,75.09,75.43,74.95,75.43,70425
2026-02-04 10:30,75.29,75.29,74.46,74.66,80680
2026-02-04 11:30,74.63,74.81,74.35,74.59,35942
2026-02-04 14:00,74.57,74.88,74.38,74.74,29677
2026-02-04 15:00,74.73,75.78,74.73,75.57,72580
2026-02-05 10:30,75.58,75.58,74.01,74.25,100539
2026-02-05 11:30,74.21,74.36,74.02,74.03,33030
2026-02-05 14:00,74.01,74.92,73.79,74.58,58168
2026-02-05 15:00,74.58,74.66,74.36,74.53,35563
2026-02-06 10:30,73.84,75.12,73.4,75.08,76140
2026-02-06 11:30,75.07,75.28,74.77,75.02,49816
2026-02-06 14:00,75.02,75.23,74.78,75.16,36422
2026-02-06 15:00,75.16,75.25,74.65,74.65,51984
2026-02-09 10:30,75.36,77.3,75.36,77.0,169272
2026-02-09 11:30,77.0,77.19,76.45,76.47,45562
2026-02-09 14:00,76.46,76.88,76.28,76.71,32927
2026-02-09 15:00,76.72,76.93,76.71,76.85,42932
2026-02-10 10:30,76.8,78.48,76.53,77.61,151861
2026-02-10 11:30,77.61,78.18,77.58,77.94,53704
2026-02-10 14:00,77.89,78.59,77.7,78.42,68226
2026-02-10 15:00,78.42,78.5,78.22,78.37,49737
2026-02-11 10:30,78.0,78.0,75.86,76.07,169328
2026-02-11 11:30,76.05,76.1,75.86,75.98,40724
2026-02-11 14:00,75.99,76.09,75.5,75.5,71598
2026-02-11 15:00,75.5,75.59,75.38,75.45,64123
2026-02-12 10:30,75.35,75.6,74.9,75.54,78915
2026-02-12 11:30,75.55,75.73,75.32,75.61,37410
2026-02-12 14:00,75.64,75.88,75.52,75.83,40106
2026-02-12 15:00,75.82,75.87,75.7,75.8,44551
2026-02-13 10:30,75.5,75.67,74.92,75.37,61808
2026-02-13 11:30,75.37,75.43,75.08,75.15,31285
2026-02-13 14:00,75.2,75.64,75.1,75.6,30568
2026-02-13 15:00,75.6,75.64,75.0,75.12,57765
2026-02-24 10:30,77.03,77.05,75.04,75.15,159984
2026-02-24 11:30,75.13,75.25,75.01,75.08,52913
2026-02-24 14:00,75.09,75.1,74.41,74.44,68896
2026-02-24 15:00,74.44,74.48,74.33,74.35,63480
2026-02-25 10:30,74.28,74.37,73.5,73.57,108856
2026-02-25 11:30,73.57,73.97,73.43,73.93,58075
2026-02-25 14:00,73.94,74.43,73.94,74.0,59080
2026-02-25 15:00,73.99,74.26,73.93,74.2,43433
2026-02-26 10:30,73.94,73.98,73.39,73.42,90236
2026-02-26 11:30,73.42,74.07,73.39,73.97,44132
2026-02-26 14:00,73.98,73.99,73.69,73.72,29652
