fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note,left_bar_idx,left_bar_ts_start,left_bar_ts_end,left_bar_high,left_bar_low,center_bar_ts_start,center_bar_ts_end,center_bar_high,center_bar_low,right_bar_idx,right_bar_ts_start,right_bar_ts_end,right_bar_high,right_bar_low
0,top,2026-01-16 11:30:00,82.14,1,82.14,80.77,True,confirmed,0,2026-01-16 10:30:00,2026-01-16 10:30:00,81.22,80.51,2026-01-16 11:30:00,2026-01-16 14:00:00,82.14,80.77,2,2026-01-16 15:00:00,2026-01-19 10:30:00,81.52,80.52
3,bottom,2026-01-20 11:30:00,78.84,6,79.47,78.84,True,confirmed,5,2026-01-19 15:00:00,2026-01-20 10:30:00,81.12,80.06,2026-01-20 11:30:00,2026-01-20 15:00:00,79.47,78.84,7,2026-01-21 10:30:00,2026-01-21 14:00:00,81.46,80.27
5,top,2026-01-23 10:30:00,80.98,11,80.98,79.57,True,confirmed,10,2026-01-22 14:00:00,2026-01-22 15:00:00,79.53,79.08,2026-01-23 10:30:00,2026-01-23 11:30:00,80.98,79.57,12,2026-01-23 14:00:00,2026-01-23 14:00:00,80.0,79.41
12,bottom,2026-01-30 11:30:00,73.23,25,74.9,73.23,True,confirmed,24,2026-01-30 10:30:00,2026-01-30 10:30:00,75.78,73.83,2026-01-30 11:30:00,2026-01-30 11:30:00,74.9,73.23,26,2026-01-30 14:00:00,2026-01-30 14:00:00,76.08,74.57
15,top,2026-02-02 11:30:00,76.99,29,76.99,75.85,True,confirmed,28,2026-02-02 10:30:00,2026-02-02 10:30:00,76.3,74.52,2026-02-02 11:30:00,2026-02-02 11:30:00,76.99,75.85,30,2026-02-02 14:00:00,2026-02-02 14:00:00,76.42,75.23
16,bottom,2026-02-03 11:30:00,74.23,33,74.94,74.23,True,confirmed,32,2026-02-03 10:30:00,2026-02-03 10:30:00,75.61,74.59,2026-02-03 11:30:00,2026-02-03 11:30:00,74.94,74.23,34,2026-02-03 14:00:00,2026-02-03 14:00:00,75.17,74.6
25,top,2026-02-10 14:00:00,78.59,47,78.59,78.22,True,confirmed,46,2026-02-10 11:30:00,2026-02-10 11:30:00,78.18,77.58,2026-02-10 14:00:00,2026-02-10 15:00:00,78.59,78.22,48,2026-02-11 10:30:00,2026-02-11 10:30:00,78.0,75.86
28,bottom,2026-02-13 10:30:00,74.92,53,75.43,74.92,True,confirmed,52,2026-02-12 14:00:00,2026-02-12 15:00:00,75.88,75.7,2026-02-13 10:30:00,2026-02-13 11:30:00,75.43,74.92,54,2026-02-13 14:00:00,2026-02-13 14:00:00,75.64,75.1
31,top,2026-02-24 10:30:00,77.05,56,77.05,75.04,True,confirmed,55,2026-02-13 15:00:00,2026-02-13 15:00:00,75.64,75.0,2026-02-24 10:30:00,2026-02-24 10:30:00,77.05,75.04,57,2026-02-24 11:30:00,2026-02-24 11:30:00,75.25,75.01
36,bottom,2026-03-04 14:00:00,67.64,76,68.17,67.64,True,confirmed,75,2026-03-04 11:30:00,2026-03-04 11:30:00,69.0,67.81,2026-03-04 14:00:00,2026-03-04 15:00:00,68.17,67.64,77,2026-03-05 10:30:00,2026-03-05 14:00:00,71.4,70.52
37,top,2026-03-06 11:30:00,71.98,79,71.98,71.5,True,confirmed,78,2026-03-05 15:00:00,2026-03-06 10:30:00,71.96,70.28,2026-03-06 11:30:00,2026-03-06 14:00:00,71.98,71.5,80,2026-03-06 15:00:00,2026-03-06 15:00:00,71.61,71.46
38,bottom,2026-03-09 11:30:00,69.96,82,70.76,69.96,True,confirmed,81,2026-03-09 10:30:00,2026-03-09 10:30:00,71.37,70.03,2026-03-09 11:30:00,2026-03-09 11:30:00,70.76,69.96,83,2026-03-09 14:00:00,2026-03-09 14:00:00,70.9,70.38
41,top,2026-03-11 10:30:00,71.82,87,71.82,71.38,True,confirmed,86,2026-03-10 11:30:00,2026-03-10 15:00:00,71.27,70.77,2026-03-11 10:30:00,2026-03-11 11:30:00,71.82,71.38,88,2026-03-11 14:00:00,2026-03-11 14:00:00,71.57,71.12
42,bottom,2026-03-12 11:30:00,69.8,91,70.35,69.8,True,confirmed,90,2026-03-12 10:30:00,2026-03-12 10:30:00,71.29,70.34,2026-03-12 11:30:00,2026-03-12 11:30:00,70.35,69.8,92,2026-03-12 14:00:00,2026-03-12 14:00:00,70.98,69.8
46,top,2026-03-17 11:30:00,72.48,99,72.48,72.01,True,confirmed,98,2026-03-16 14:00:00,2026-03-17 10:30:00,71.8,70.83,2026-03-17 11:30:00,2026-03-17 11:30:00,72.48,72.01,100,2026-03-17 14:00:00,2026-03-17 14:00:00,72.27,71.6
51,bottom,2026-03-23 15:00:00,65.0,113,65.84,65.0,True,confirmed,112,2026-03-23 14:00:00,2026-03-23 14:00:00,66.58,65.61,2026-03-23 15:00:00,2026-03-23 15:00:00,65.84,65.0,114,2026-03-24 10:30:00,2026-03-24 11:30:00,66.03,65.0
52,top,2026-03-26 10:30:00,68.51,120,68.51,67.82,True,confirmed,119,2026-03-25 15:00:00,2026-03-25 15:00:00,68.12,67.22,2026-03-26 10:30:00,2026-03-26 10:30:00,68.51,67.82,121,2026-03-26 11:30:00,2026-03-26 11:30:00,68.07,67.76
53,bottom,2026-03-27 10:30:00,66.66,124,67.5,66.66,True,confirmed,123,2026-03-26 15:00:00,2026-03-26 15:00:00,67.73,67.32,2026-03-27 10:30:00,2026-03-27 10:30:00,67.5,66.66,125,2026-03-27 11:30:00,2026-03-27 11:30:00,67.5,67.11
56,top,2026-03-31 10:30:00,68.86,129,68.86,67.94,True,confirmed,128,2026-03-30 10:30:00,2026-03-30 15:00:00,67.51,66.76,2026-03-31 10:30:00,2026-03-31 11:30:00,68.86,67.94,130,2026-03-31 14:00:00,2026-03-31 14:00:00,68.24,67.71
61,bottom,2026-04-07 14:00:00,64.6,142,65.03,64.6,True,confirmed,141,2026-04-07 11:30:00,2026-04-07 11:30:00,65.64,64.87,2026-04-07 14:00:00,2026-04-07 15:00:00,65.03,64.6,143,2026-04-08 10:30:00,2026-04-08 10:30:00,66.6,66.02
68,top,2026-04-15 10:30:00,69.9,157,69.9,68.9,True,confirmed,156,2026-04-14 10:30:00,2026-04-14 15:00:00,69.19,68.66,2026-04-15 10:30:00,2026-04-15 10:30:00,69.9,68.9,158,2026-04-15 11:30:00,2026-04-15 11:30:00,69.07,68.77
69,bottom,2026-04-17 11:30:00,65.51,165,65.86,65.51,False,pre_bi_candidate,164,2026-04-17 10:30:00,2026-04-17 10:30:00,66.71,65.81,2026-04-17 11:30:00,2026-04-17 11:30:00,65.86,65.51,166,2026-04-17 14:00:00,2026-04-17 15:00:00,66.16,65.61
