ts,open,high,low,close,volume
2025-09-30,83.05,84.41,82.5,83.82,410834
2025-10-09,84.8,91.0,84.09,88.91,906926
2025-10-10,89.6,89.86,83.75,84.33,746273
2025-10-13,80.35,82.57,79.8,81.51,658997
2025-10-14,82.5,83.47,78.9,79.15,507765
2025-10-15,79.05,81.19,78.18,80.71,398556
2025-10-16,80.6,82.31,79.96,80.78,331310
2025-10-17,80.79,80.88,77.47,77.59,374769
2025-10-20,78.42,79.72,77.86,78.54,304144
2025-10-21,78.65,79.96,77.94,79.42,255083
2025-10-22,79.0,81.66,78.3,79.25,377076
2025-10-23,78.7,79.55,77.4,79.25,260042
2025-10-24,77.0,78.7,76.0,78.38,496534
2025-10-27,79.07,79.73,77.32,78.27,467175
2025-10-28,78.0,78.79,77.2,77.31,406930
2025-10-29,77.38,79.03,77.31,79.03,341958
2025-10-30,79.0,79.45,77.0,77.0,409853
2025-10-31,77.05,79.6,76.95,77.01,383514
2025-11-03,77.38,77.38,73.83,74.85,409994
2025-11-04,74.49,74.7,72.52,73.09,331993
2025-11-05,72.29,73.42,71.9,73.1,255811
2025-11-06,73.19,74.75,73.01,74.5,261531
2025-11-07,74.3,74.3,73.25,73.58,186519
2025-11-10,73.68,74.24,72.33,72.81,214146
2025-11-11,73.24,73.99,72.04,72.13,178229
2025-11-12,72.04,72.58,71.22,71.5,219386
2025-11-13,71.5,72.74,71.45,72.4,202051
2025-11-14,72.3,72.5,71.09,71.09,191914
2025-11-17,71.09,71.68,70.8,71.5,213802
2025-11-18,71.49,71.85,71.1,71.51,183302
2025-11-19,71.59,71.87,70.82,71.0,188597
2025-11-20,71.18,71.48,69.95,69.99,176255
2025-11-21,69.41,70.79,68.25,69.6,308886
2025-11-24,70.0,70.45,68.9,69.81,265126
2025-11-25,70.5,71.07,69.81,69.81,243518
2025-11-26,69.86,70.85,69.41,70.3,226346
2025-11-27,70.48,71.42,70.09,70.12,199939
2025-11-28,70.37,70.88,69.9,70.66,185560
2025-12-01,70.93,71.99,70.36,71.99,289139
2025-12-02,71.78,71.81,71.01,71.07,212151
2025-12-03,71.03,71.6,70.07,70.27,175219
2025-12-04,71.24,73.33,71.24,72.65,437727
2025-12-05,72.27,73.17,71.75,73.16,261873
2025-12-08,73.44,74.38,72.8,74.04,334094
2025-12-09,74.0,74.0,72.31,72.45,267236
2025-12-10,72.46,74.8,72.35,74.69,390618
2025-12-11,74.74,75.48,73.73,73.73,272533
2025-12-12,73.5,74.08,72.83,73.9,259494
2025-12-15,73.2,73.6,71.69,71.76,220404
2025-12-16,71.76,71.94,70.41,70.55,178241
2025-12-17,70.56,71.89,69.98,71.85,228181
2025-12-18,71.49,72.59,71.29,71.29,178061
2025-12-19,71.63,72.34,71.5,71.55,141479
2025-12-22,71.83,73.15,71.71,72.72,244747
2025-12-23,72.85,73.49,72.32,72.47,193021
2025-12-24,72.4,72.65,71.73,72.36,192821
2025-12-25,72.5,73.87,72.5,73.67,258917
2025-12-26,73.68,73.75,72.68,73.3,212020
