bi_id,direction,start_fx_id,end_fx_id,start_ts,end_ts,high,low,start_norm_idx,end_norm_idx,is_confirmed,status,note
0,down,0,1,2025-10-09,2025-11-21,91.0,68.25,,,True,confirmed,user_confirmed
1,up,1,2,2025-11-21,2025-12-11,75.48,68.25,,,True,confirmed,user_confirmed
2,down,2,3,2025-12-11,2025-12-17,75.48,69.98,,,True,confirmed,user_confirmed
3,up,3,4,2025-12-17,2026-01-16,82.15,69.98,,,True,confirmed,user_confirmed
4,down,4,5,2026-01-16,2026-01-30,82.15,73.21,,,True,confirmed,user_confirmed
5,up,5,6,2026-01-30,2026-02-10,78.59,73.21,,,True,confirmed,user_confirmed
6,down,6,7,2026-02-10,2026-03-04,78.59,67.62,,,True,confirmed,user_confirmed
7,up,7,8,2026-03-04,2026-03-13,72.79,67.62,,,True,confirmed,user_confirmed
8,down,8,9,2026-03-13,2026-03-24,72.79,65.0,,,True,confirmed,user_confirmed
9,up,9,10,2026-03-24,2026-03-31,68.88,65.0,,,False,preprocessing,not_confirmed_yet
