bi_id,direction,start_fx_id,end_fx_id,start_ts,end_ts,high,low,start_norm_idx,end_norm_idx,is_confirmed,status,note
0,down,0,13,2025-10-09,2025-11-21,91.0,68.25,1,26,True,confirmed,auto_generated
1,up,13,22,2025-11-21,2025-12-11,75.48,68.25,26,37,True,confirmed,auto_generated
2,down,22,23,2025-12-11,2025-12-17,75.48,69.98,37,41,True,confirmed,auto_generated
3,up,23,28,2025-12-17,2026-01-16,82.15,69.98,41,54,True,confirmed,auto_generated
4,down,28,29,2026-01-16,2026-01-30,82.15,73.21,54,62,True,confirmed,auto_generated
5,up,29,34,2026-01-30,2026-02-10,78.59,73.21,62,69,True,confirmed,auto_generated
6,down,34,35,2026-02-10,2026-03-04,78.59,67.62,69,77,True,confirmed,auto_generated
7,up,35,40,2026-03-04,2026-03-13,72.79,67.62,77,84,True,confirmed,auto_generated
8,down,40,43,2026-03-13,2026-03-24,72.79,65.0,84,91,True,confirmed,auto_generated
9,up,43,44,2026-03-24,2026-03-31,68.88,65.0,91,94,False,preprocessing,auto_generated
