fx_id,fx_type,ts,price,center_bar_idx,high,low,is_confirmed,note
0,top,2025-10-09,91.0,1,91.0,84.09,True,confirmed
13,bottom,2025-11-21,68.25,26,70.45,68.25,True,confirmed
22,top,2025-12-11,75.48,37,75.48,73.73,True,confirmed
23,bottom,2025-12-17,69.98,41,71.89,69.98,True,confirmed
28,top,2026-01-16,82.15,54,82.15,80.51,True,confirmed
29,bottom,2026-01-30,73.21,62,76.08,73.21,True,confirmed
34,top,2026-02-10,78.59,69,78.59,76.53,True,confirmed
35,bottom,2026-03-04,67.62,77,69.02,67.62,True,confirmed
40,top,2026-03-13,72.79,84,72.79,70.64,True,confirmed
43,bottom,2026-03-24,65.0,91,67.1,65.0,True,confirmed
