bi_id,direction,start_fx_id,end_fx_id,start_ts,end_ts,high,low,start_norm_idx,end_norm_idx,is_confirmed,status,note
0,down,1,7,2025-12-23 15:00,2025-12-31 14:00,27.74,27.17,11,29,True,confirmed,auto_generated
1,up,7,8,2025-12-31 14:00,2026-01-06 14:00,27.44,27.17,29,34,True,confirmed,auto_generated
2,down,8,13,2026-01-06 14:00,2026-01-09 11:30,27.44,27.18,34,42,True,confirmed,auto_generated
3,up,13,16,2026-01-09 11:30,2026-01-14 10:30,27.54,27.18,42,49,True,confirmed,auto_generated
4,down,16,19,2026-01-14 10:30,2026-01-16 15:00,27.54,26.45,49,58,True,confirmed,auto_generated
5,up,19,22,2026-01-16 15:00,2026-01-20 15:00,26.93,26.45,58,63,True,confirmed,auto_generated
6,down,22,27,2026-01-20 15:00,2026-01-29 11:30,26.93,25.38,63,85,True,confirmed,auto_generated
7,up,27,28,2026-01-29 11:30,2026-01-30 14:00,26.57,25.38,85,89,True,confirmed,auto_generated
8,down,28,29,2026-01-30 14:00,2026-02-03 11:30,26.57,25.91,89,93,True,confirmed,auto_generated
9,up,29,30,2026-02-03 11:30,2026-02-06 10:30,26.76,25.91,93,99,True,confirmed,auto_generated
10,down,30,41,2026-02-06 10:30,2026-02-26 11:30,26.76,25.93,99,121,True,confirmed,auto_generated
11,up,41,64,2026-02-26 11:30,2026-03-13 14:00,27.63,25.93,121,155,True,confirmed,auto_generated
12,down,64,70,2026-03-13 14:00,2026-03-23 15:00,27.63,26.66,155,173,True,confirmed,auto_generated
13,up,70,71,2026-03-23 15:00,2026-03-26 14:00,27.44,26.66,173,181,True,confirmed,auto_generated
14,down,71,80,2026-03-26 14:00,2026-04-13 11:30,27.44,26.24,181,207,True,confirmed,auto_generated
15,up,80,85,2026-04-13 11:30,2026-04-16 10:30,26.69,26.24,207,216,True,confirmed,auto_generated
16,down,85,88,2026-04-16 10:30,2026-04-17 10:30,26.69,26.47,216,220,False,preprocessing,auto_generated
